category_name,avg_run_correlation,rss_position_correlation,rss_k1,rss_k2,rss_k3,rss_k4,rss_k5,rss_k6,rss_k7,rss_k8,rss_k9,rss_k10,total_apps,total_runs,rss_k11,rss_k12,rss_k13,rss_k14,rss_k15,rss_k16,rss_k17,rss_k18,rss_k19,rss_k20,apps_k1,apps_k2,apps_k3,apps_k4,apps_k5,apps_k6,apps_k7,apps_k8,apps_k9,apps_k10,apps_k11,apps_k12,apps_k13,apps_k14,apps_k15,apps_k16,apps_k17,apps_k18,apps_k19,apps_k20
"""AI-powered utilities""",0.5473765028077878,0.8835463324848991,0.0,0.2222222222222222,0.1111111111111111,0.1157407407407407,0.2222222222222222,0.6388888888888888,0.6091269841269842,0.6924603174603173,0.6094771241830064,0.6154970760233919,27,10,,,,,,,,,,,2.0,2.0,5.0,9.0,10.0,13.0,18.0,21.0,24.0,27.0,,,,,,,,,,
"""AI-powered entertainment""",0.8298712241336768,0.9838231355019073,0.0,0.125,0.2142857142857142,0.4814814814814815,0.5783333333333334,0.6902777777777779,0.913095238095238,1.2009259259259255,1.4683333333333333,1.3242424242424242,30,10,,,,,,,,,,,3.0,6.0,11.0,13.0,18.0,22.0,24.0,25.0,26.0,30.0,,,,,,,,,,
"""AI-powered productivity""",0.904289753065588,0.8902085236812111,0.0,0.0,0.3101851851851852,0.1861111111111111,0.1329365079365079,0.2725694444444444,0.4513888888888888,0.4433760683760683,0.5009920634920635,0.9205246913580246,20,10,,,,,,,,,,,1.0,3.0,4.0,7.0,10.0,11.0,13.0,16.0,19.0,20.0,,,,,,,,,,
"""AI-powered finance""",0.1984096953105652,0.9287468870773448,0.0,0.1666666666666666,0.1111111111111111,0.15,0.2013888888888888,0.4369047619047619,0.6348958333333334,0.7384453781512605,0.961309523809524,1.4800125313283208,31,10,,,,,,,,,,,4.0,6.0,10.0,18.0,21.0,21.0,22.0,25.0,28.0,31.0,,,,,,,,,,
"""AI-powered photo & video""",0.9779249066164396,0.929276368556082,0.0,0.0,0.2857142857142857,0.3703703703703703,0.393939393939394,0.4038461538461538,0.4833333333333333,0.5441176470588235,0.5131578947368421,0.6071428571428571,31,10,,,,,,,,,,,3.0,8.0,11.0,13.0,15.0,18.0,21.0,24.0,28.0,31.0,,,,,,,,,,
"""AI-powered shopping""",0.4019172651155048,0.9569063456388898,0.0,0.0,0.1428571428571428,0.2166666666666666,0.2916666666666667,0.2833333333333333,0.7017543859649122,0.9666666666666666,0.9583333333333331,0.998148148148148,28,10,,,,,,,,,,,2.0,5.0,10.0,14.0,17.0,21.0,22.0,22.0,25.0,28.0,,,,,,,,,,
"""AI-powered social networking""",0.8400579028672632,0.9877037840504465,0.0,0.1666666666666666,0.2777777777777777,0.3518518518518518,0.4833333333333333,0.5897435897435898,0.6666666666666665,0.7990196078431372,1.057017543859649,1.2424242424242424,27,10,,,,,,,,,,,3.0,6.0,9.0,13.0,17.0,18.0,21.0,22.0,25.0,27.0,,,,,,,,,,
"""AI-powered lifestyle""",0.9559052384520608,0.9521742798128086,0.0,0.0,0.0416666666666666,0.1041666666666666,0.2,0.1666666666666666,0.1785714285714285,0.21875,0.2222222222222222,0.275,23,10,,,,,,,,,,,2.0,5.0,8.0,9.0,10.0,13.0,15.0,17.0,19.0,23.0,,,,,,,,,,
"""AI-powered music""",0.560649526430251,0.8806230266259413,0.0,0.22,0.2129629629629629,0.1597222222222222,0.1277777777777777,0.1814814814814815,0.3234126984126985,0.5216931216931217,0.5618580765639588,0.7919000933706816,18,10,,,,,,,,,,,5.0,5.0,6.0,8.0,11.0,12.0,15.0,16.0,18.0,18.0,,,,,,,,,,
"""AI-powered education""",0.4748955318593916,0.8995222976160152,0.0,0.1037037037037037,0.11222222222222222,0.20039682539682543,0.1335978835978836,0.15476190476190477,0.3171296296296296,0.48504273504273504,0.42037037037037034,0.3709150326797386,17,10,,,,,,,,,,,2.0,3.0,5.0,6.0,9.0,11.0,12.0,13.0,15.0,17.0,,,,,,,,,,
