feature,model1,model2,rbo
Play playlist on shuffle mode,gemini,mistral,0.5225465157438148
Play playlist on shuffle mode,gemini,openai,0.44867625246782283
Play playlist on shuffle mode,gemini,perplexity,0.17332634501202854
Play playlist on shuffle mode,mistral,openai,0.8565635911851924
Play playlist on shuffle mode,mistral,perplexity,0.17672529104818555
Play playlist on shuffle mode,openai,perplexity,0.16989778790107224
Rate movies,anthropic,gemini,0.7099129337700149
Rate movies,anthropic,mistral,0.6997389580653341
Rate movies,anthropic,openai,0.2540426354221868
Rate movies,anthropic,perplexity,0.2500951596625146
Rate movies,gemini,mistral,0.7341488066532659
Rate movies,gemini,openai,0.2790786815789149
Rate movies,gemini,perplexity,0.26217263828837933
Rate movies,mistral,openai,0.2426617340680743
Rate movies,mistral,perplexity,0.24097673572284628
Rate movies,openai,perplexity,0.18157722072109692
Search for offer on item,anthropic,gemini,0.19538122311797806
Search for offer on item,anthropic,mistral,0.5038343351552329
Search for offer on item,anthropic,openai,0.26859488694132155
Search for offer on item,anthropic,perplexity,0.00041637550327926746
Search for offer on item,gemini,mistral,0.1573323990168176
Search for offer on item,gemini,openai,0.33876301993026403
Search for offer on item,gemini,perplexity,0.22050364496877758
Search for offer on item,mistral,openai,0.2800677624019972
Search for offer on item,mistral,perplexity,0.0
Search for offer on item,openai,perplexity,0.4338073804447169
Send files,anthropic,gemini,0.5726037178286566
Send files,anthropic,mistral,0.1377841053553045
Send files,anthropic,openai,0.5647734260798792
Send files,anthropic,perplexity,0.3713747920978568
Send files,gemini,mistral,0.08200341646737055
Send files,gemini,openai,0.5828771140331784
Send files,gemini,perplexity,0.2585708440904805
Send files,mistral,openai,0.12144093297361415
Send files,mistral,perplexity,0.19025402449020679
Send files,openai,perplexity,0.20113468010339172
Watch streams,anthropic,gemini,0.41029501550849196
Watch streams,anthropic,mistral,0.7424797394756104
Watch streams,anthropic,openai,0.1806363778653677
Watch streams,anthropic,perplexity,0.22190305891225925
Watch streams,gemini,mistral,0.2545762840175954
Watch streams,gemini,openai,0.18966185537804595
Watch streams,gemini,perplexity,0.47345250453892906
Watch streams,mistral,openai,0.16862857174284232
Watch streams,mistral,perplexity,0.1450034901964778
Watch streams,openai,perplexity,0.12678457455764447
Write notes,anthropic,gemini,0.43846624621349567
Write notes,anthropic,mistral,0.478884873209878
Write notes,anthropic,openai,0.4284667454903813
Write notes,anthropic,perplexity,0.374591429936963
Write notes,gemini,mistral,0.5907701412762207
Write notes,gemini,openai,0.6656594466205561
Write notes,gemini,perplexity,0.631949050007751
Write notes,mistral,openai,0.67192977984832
Write notes,mistral,perplexity,0.5204986736763655
Write notes,openai,perplexity,0.6139255574667402
