family,model,provider,mode,k,feature,run,name,description,type,sources,cluster_id,cluster_size,selection_method,centroid_distance,connectivity_score,silhouette_score
proprietary,mistral,mistral,structured,20,Search for products,6,Search Result Relevance,"The accuracy of search results in matching user queries, including filters and sorting options.",,,12,273,aggregated_voting,0.5460161566734314,0.6013179421424866,0.1784517765045166
proprietary,openai,openai,structured,20,Edit audio files,5,User Interface Efficiency,"Ease of navigation, workflow clarity, and speed of performing common tasks",,,13,539,aggregated_voting,0.5401114821434021,0.5733951926231384,-0.035270243883132935
proprietary,mistral,mistral,structured,20,Track routes on map,9,Pricing and Value,"The cost of the app, including one-time purchases, subscriptions, and the value provided by free vs. premium features.",,,14,384,aggregated_voting,0.3887142539024353,0.7334805130958557,0.33572036027908325
proprietary,anthropic,anthropic,structured,20,Pay credit card bills,4,Security & Authentication,"The robustness of security measures including encryption, multi-factor authentication, biometric login, and fraud detection mechanisms protecting user financial data.",,,15,335,aggregated_voting,0.4239167869091034,0.7136183977127075,0.2528434097766876
proprietary,gemini,gemini,structured,20,Apply filters and effects,2,Cross-Platform Synchronization,The ability to maintain data consistency and user experience across different devices.,,,16,453,aggregated_voting,0.38802096247673035,0.7257468104362488,0.16911722719669342
proprietary,anthropic,anthropic,structured,20,Pay bills,4,Automation and Scheduling Capabilities,"The ability to set up automatic recurring payments, schedule future payments, and configure reminders to avoid missed due dates",,,17,124,aggregated_voting,0.4254245460033417,0.6858119368553162,0.2931064963340759
proprietary,mistral,mistral,structured,20,Share photos and videos,6,Cross-Platform Integration,"The app's ability to integrate with other platforms, devices, or services (e.g., cloud storage, social media, or smart devices) for seamless sharing across ecosystems.",,,18,567,aggregated_voting,0.4633882939815521,0.6578488349914551,0.026966389268636703
proprietary,mistral,mistral,structured,20,File management,0,Customization Options,"The level of customization available to users, such as themes, layout options, and the ability to tailor the app's functionality to individual preferences.",,,19,479,aggregated_voting,0.5207769870758057,0.6197519898414612,0.17634990811347961
proprietary,anthropic,anthropic,structured,20,Transfer money,1,Geographic Coverage,"Extent and granularity of supported regions worldwide",,,20,329,aggregated_voting,0.4378710389137268,0.6645765900611877,0.2589626908302307
proprietary,gemini,gemini,structured,20,Download books,7,Offline Functionality,The capability of the application to allow users to download and store content locally for access without an active internet connection.,,,21,544,aggregated_voting,0.4270801246166229,0.7099127769470215,0.30372270941734314
proprietary,mistral,mistral,structured,20,Follow training plans,6,Progress Tracking and Analytics,"Users can easily track their progress over time, including metrics like strength gains, endurance improvements, or completion rates of training plans.",,,22,311,aggregated_voting,0.5858510136604309,0.5306559801101685,0.1433739960193634
proprietary,mistral,mistral,structured,20,Highlight text,2,Performance and Stability,"The app's performance in terms of speed, responsiveness, and stability when handling large documents or multiple highlights without lag or crashes.",,,23,319,aggregated_voting,0.6793426275253296,0.4238192141056061,-0.1642228215932846
proprietary,mistral,mistral,structured,20,Find nearby places,2,Personalization and Relevance,"The app's ability to provide relevant and personalized recommendations based on user preferences, search history, and behavior.",,,24,508,aggregated_voting,0.5051290988922119,0.6292155385017395,0.14451682567596436
proprietary,mistral,mistral,structured,20,Discover new people,0,User Engagement,"The frequency and quality of interactions between users, such as messages, likes, and other engagement features.",,,25,348,aggregated_voting,0.4769924283027649,0.6654082536697388,0.20613108575344086
proprietary,anthropic,anthropic,structured,20,Track taxi location,2,Notification and Alert System,"The timeliness and relevance of push notifications and in-app alerts related to tracking status changes such as arrival, delays, or route deviations.",,,26,252,aggregated_voting,0.4423843026161194,0.6967491507530212,0.3051038384437561
proprietary,gemini,gemini,structured,20,Check public transport routes,9,Real-Time Data Accuracy,"The extent to which the application provides live, up-to-the-minute information on vehicle locations, delays, and schedule changes.",,,27,218,aggregated_voting,0.5528162121772766,0.5764540433883667,0.21078220009803772
proprietary,openai,openai,structured,20,Transfer money,3,Transfer Speed,How quickly funds are delivered and available to the recipient after initiating a transaction,,,28,169,aggregated_voting,0.36979013681411743,0.7880091667175293,0.4314001798629761
proprietary,mistral,mistral,structured,20,Send money to anyone,6,User Experience (UX),"The ease of use of the app, including user interface design, navigation, and overall user experience.",,,29,234,aggregated_voting,0.2325054556131363,0.872313380241394,0.4245995283126831
proprietary,deepseek,deepseek,structured,20,Offline learning,3,Number of downloads,"Total count of installs from official app stores, indicating popularity and reach.",,,30,132,aggregated_voting,0.32813239097595215,0.8081106543540955,0.41175639629364014
proprietary,anthropic,anthropic,structured,20,Share payments,8,Fee Structure & Cost Transparency,"The clarity and competitiveness of fees charged for sending, receiving, or splitting payments, including currency conversion costs",,,31,254,aggregated_voting,0.4318099021911621,0.6861172914505005,0.2958594560623169
proprietary,mistral,mistral,structured,20,Highlight text,0,Export and Sharing Capabilities,"The ease of exporting or sharing highlighted content, including options like email, cloud services, or direct integration with other apps.",,,32,250,aggregated_voting,0.5229241847991943,0.5963984131813049,0.1143377348780632
proprietary,openai,openai,structured,20,Browse by category,3,Category Depth,The breadth and granularity of categories and subcategories available for browsing,,,33,180,aggregated_voting,0.4978722333908081,0.6448485255241394,0.2694258689880371
proprietary,anthropic,anthropic,structured,20,Access courses,3,Interactive Learning Features,"The availability of quizzes, assignments, projects, peer interactions, discussion forums, and other engagement tools that enhance the learning experience.",,,34,169,aggregated_voting,0.6525702476501465,0.47826507687568665,0.06504300236701965
proprietary,mistral,mistral,structured,20,Barcode scanning for items,5,Customer Support,"The availability and quality of customer support, including responsiveness to user queries, bug fixes, and troubleshooting assistance.",,,35,277,aggregated_voting,0.35552358627319336,0.7941003441810608,0.41653871536254883
proprietary,mistral,mistral,structured,20,Adjust image settings,7,Output Quality and Export Options,"The ability to save, export, or share edited images in high resolution without significant quality loss or compression artifacts.",,,36,161,aggregated_voting,0.3727050721645355,0.7482646703720093,0.3421352803707123
proprietary,mistral,mistral,structured,20,Share edited photos,7,Editing Capabilities,"The variety and depth of editing tools available before sharing, such as filters, adjustments, and retouching options.",,,37,141,aggregated_voting,0.4805765151977539,0.656286895275116,0.21283872425556183
proprietary,mistral,mistral,structured,20,Create playlists,7,Update and Maintenance Frequency,"The frequency and quality of updates to the app, including bug fixes, new features, and performance improvements.",,,38,434,aggregated_voting,0.30922600626945496,0.8034863471984863,0.34356552362442017
proprietary,deepseek,deepseek,structured,20,Add items to wishlist,2,Monthly Active Users (MAU),"The number of unique users who engage with the app in a month, indicating overall popularity and reach.",,,39,125,aggregated_voting,0.2743149697780609,0.8507789969444275,0.46446338295936584
proprietary,openai,openai,structured,20,Set fitness goals,5,User Interface & Experience,"Ease of navigation, clarity of information, and overall usability of the app",,,40,859,aggregated_voting,0.35162118077278137,0.7515374422073364,0.14915429055690765
proprietary,mistral,mistral,structured,20,Offline learning,7,Storage Efficiency,"The amount of device storage required to download and use the app's offline features, and how efficiently it manages storage.",,,41,267,aggregated_voting,0.5098540782928467,0.6139556765556335,0.023288095369935036
proprietary,openai,openai,structured,20,Diet planning,9,Integration Ecosystem,"Ability to sync with wearables, fitness apps, and health platforms",,,42,191,aggregated_voting,0.34536728262901306,0.7876758575439453,0.33611443638801575
proprietary,anthropic,anthropic,structured,20,Transfer money,0,Reliability & Uptime,"The consistency and dependability of the app's service, including minimal downtime, low transaction failure rates, and reliable delivery tracking.",,,43,187,aggregated_voting,0.5312373638153076,0.5936047434806824,0.07883549481630325
proprietary,anthropic,anthropic,structured,20,Listen to interviews,5,Cross-Platform Accessibility,"The availability of the app across multiple devices and operating systems, including smartphones, tablets, web browsers, smart speakers, and car integration systems.",,,44,137,aggregated_voting,0.3980964422225952,0.7489380836486816,0.1509753167629242
proprietary,mistral,mistral,structured,20,Share edited photos,6,Community and Social Features,"The presence and quality of community features, such as the ability to follow other users, discover trending edits, or participate in challenges, which can enhance engagement and sharing.",,,45,168,aggregated_voting,0.4088720977306366,0.7446471452713013,0.29153403639793396
proprietary,mistral,mistral,structured,20,Barcode scanning for items,2,Cross-Platform Availability,"The availability of the app across different platforms (iOS, Android) and its compatibility with various devices and OS versions.",,,46,659,aggregated_voting,0.3181597590446472,0.7972184419631958,0.2951241135597229
