id,name,metric,data_source
M_104,Cross-Platform Availability,Integration with other platforms,App Store listings
M_105,User Base and Popularity,Active user count,Google Play Store
M_106,User Base and Popularity,Active user count,Apple App Store
M_107,User Base and Popularity,Number of downloads,Google Play Store
M_108,User Base and Popularity,Number of downloads,Apple App Store
M_109,User Ratings and Reviews,Number of reviews,Google Play Store
M_110,User Ratings and Reviews,Number of reviews,Apple App Store
M_111,User Ratings and Reviews,Average rating,Google Play Store
M_112,User Ratings and Reviews,Average rating,Apple App Store
M_113,Updates and Support,Frequency of updates,User feedback forums
M_114,Updates and Support,Frequency of updates,User feedback platforms
M_115,Updates and Support,Frequency of updates,Official app websites
M_116,Updates and Support,Frequency of updates,App update history
M_117,Updates and Support,Frequency of updates,App update logs
M_118,Updates and Support,Customer support quality,User feedback forums
M_119,Updates and Support,Customer support quality,User feedback platforms
M_120,Updates and Support,Customer support quality,Official app websites
M_121,Updates and Support,Customer support quality,App update history
M_122,Updates and Support,Customer support quality,App update logs
M_123,Integration Capabilities,Compatibility with wearables,Official app websites
M_124,Integration Capabilities,Compatibility with wearables,Tech review sites
M_125,Integration Capabilities,Third-party app integrations,Official app websites
M_126,Integration Capabilities,Third-party app integrations,Tech review sites
