family,model,provider,mode,k,feature,run,name,description,type,sources,cluster_id,cluster_size,selection_method,centroid_distance,connectivity_score,silhouette_score
open,qwen3_8b,ollama,structured,20,Photo editing tools,4,Integration,"Apps that integrate well with other services (e.g., cloud storage, social media)",,,14,488,aggregated_voting,0.4520125389099121,0.6718283295631409,0.1820099651813507
open,qwen3_8b,ollama,structured,20,Send messages,1,Feature Set,"Number of additional features beyond messaging (e.g., file sharing, voice/video calls, social media integration)",,,15,693,aggregated_voting,0.5411900281906128,0.5785890817642212,0.13380050659179688
open,gemma3_4b,ollama,structured,20,Watch lectures,5,Content Variety,Apps offering a broad range of lectures across diverse subjects and skill levels.,,,16,505,aggregated_voting,0.6570605635643005,0.4549836814403534,0.045632973313331604
open,gemma3_4b,ollama,structured,20,Weather forecast,0,Regular Updates,"Frequency of app updates, including bug fixes and feature improvements.",,,17,508,aggregated_voting,0.38848066329956055,0.7114439606666565,0.31561049818992615
open,gemma3_4b,ollama,structured,20,Track workouts,1,Personalization,The degree to which the app allows users to customize their workout plans and tracking preferences.,,,18,577,aggregated_voting,0.572524905204773,0.540906548500061,0.03461557626724243
open,deepseekr1_8b,ollama,structured,20,Track learning progress,4,User Engagement,"Measures how actively users interact with the app, inferred from metrics like daily active users, session frequency, and user retention rates.",,,19,416,aggregated_voting,0.4321139454841614,0.7084036469459534,0.25853365659713745
open,qwen3_8b,ollama,structured,20,Read articles offline,5,Additional Features,"Apps with note-taking, bookmarking, sharing, or integration with other services.",,,20,431,aggregated_voting,0.6149955987930298,0.4829522967338562,-0.0407472588121891
open,gptoss20b,ollama,structured,20,Download books,0,Cross‑Device Sync,"How seamlessly an app syncs reading progress, bookmarks, notes, and downloaded content across multiple devices and platforms.",,,21,375,aggregated_voting,0.43625426292419434,0.6954767107963562,0.17048950493335724
open,gptoss20b,ollama,structured,20,Real-time messaging,1,Security & Privacy,"Strength of end‑to‑end encryption, data handling policies, and overall privacy safeguards.",,,22,879,aggregated_voting,0.48568591475486755,0.6340862512588501,0.148035928606987
open,deepseekr1_8b,ollama,structured,20,Personalized news feed,9,User Base Size,"The number of active users, reflecting the app's popularity and reach.",,,23,552,aggregated_voting,0.3897324800491333,0.7005447149276733,0.1024961993098259
open,qwen3_8b,ollama,structured,20,View maps offline,2,Platform Availability,"Support for iOS, Android, and cross-platform compatibility",,,24,925,aggregated_voting,0.298586368560791,0.7994890213012695,0.37643489241600037
open,gemma3_4b,ollama,structured,20,Diet planning,5,Community Features,Provides a community forum or social aspect for support and motivation.,,,25,485,aggregated_voting,0.45333564281463623,0.6719828248023987,0.2238360196352005
open,llama31_8b,ollama,structured,20,Pay credit card bills,3,User Reviews,The overall rating and number of reviews from users.,,,26,567,aggregated_voting,0.377926766872406,0.730668306350708,0.1203918382525444
open,gemma3_4b,ollama,structured,20,Diet planning,2,Cost & Subscription Model,"The pricing structure of the app, including free features versus premium subscriptions and value for money.",,,27,847,aggregated_voting,0.37995097041130066,0.713656485080719,0.31934264302253723
open,gemma3_4b,ollama,structured,20,Share content on social networks,9,Ease of Sharing,"How seamlessly the app integrates sharing options to various social networks, considering the number and variety of sharing formats available.",,,28,410,aggregated_voting,0.5120190978050232,0.628210723400116,0.20515698194503784
open,gemma3_4b,ollama,structured,20,Receive news notifications,3,Notification Frequency,"The app should offer granular control over notification frequency, allowing users to customize alerts based on topics, sources, and delivery times.",,,29,252,aggregated_voting,0.5382117033004761,0.6108319163322449,0.1523585021495819
open,gemma3_4b,ollama,structured,20,Transfer money,3,Fees,"The cost associated with sending and receiving money, including transaction fees and international transfer fees.",,,30,235,aggregated_voting,0.48061898350715637,0.693365216255188,0.2829095721244812
open,gemma3_4b,ollama,structured,20,Currency converter,2,Customer Support,The availability and responsiveness of customer support.,,,31,447,aggregated_voting,0.4391302466392517,0.7136352062225342,0.3299506604671478
open,gemma3_4b,ollama,structured,20,Calorie tracking,1,Progress Tracking & Reporting,The app's ability to visualize progress through charts and reports is key to motivation.,,,32,340,aggregated_voting,0.4940638840198517,0.5954886078834534,0.18652810156345367
open,deepseekr1_8b,ollama,structured,20,Transfer money,2,Security Features,"The presence and effectiveness of security measures such as encryption, two-factor authentication, and fraud protection.",,,33,399,aggregated_voting,0.41532668471336365,0.6676700115203857,0.2158319354057312
open,gemma3_4b,ollama,structured,20,Share edited photos,0,Editing Features,"The variety and quality of editing tools offered, including filters, adjustments, effects, and overlays.",,,34,319,aggregated_voting,0.4773414134979248,0.6098055839538574,0.21136775612831116
open,mistral_open,ollama,structured,20,Search news topics,9,Search Functionality,The efficiency and accuracy of the app's search feature for specific topics or keywords,,,35,326,aggregated_voting,0.4751313030719757,0.6516889333724976,0.218322291970253
open,deepseekr1_8b,ollama,structured,20,Set wallpapers,4,Feature Richness,"More comprehensive features for setting wallpapers, including customization options and variety, enhance the app's utility.",,,36,240,aggregated_voting,0.4370869994163513,0.6841691136360168,0.26961618661880493
open,gptoss20b,ollama,structured,20,Track routes on map,8,Battery Efficiency,App’s impact on device battery life while continuously tracking routes.,,,37,210,aggregated_voting,0.43341317772865295,0.716766357421875,0.3011675775051117
open,gemma3_4b,ollama,structured,20,Highlight text,5,Accessibility Features,"The availability of accessibility features for users with disabilities, such as screen reader compatibility.",,,38,305,aggregated_voting,0.40045246481895447,0.7625020742416382,0.38218939304351807
open,gptoss20b,ollama,structured,20,Calorie tracking,4,Integration with Wearables,"Seamless syncing with fitness trackers, smartwatches, and health apps.",,,39,210,aggregated_voting,0.35528138279914856,0.7782277464866638,0.3617675304412842
open,gptoss20b,ollama,structured,20,Send money to anyone,7,Transaction Speed,The time it takes for the transferred funds to become available to the recipient.,,,40,177,aggregated_voting,0.4223423898220062,0.7332251667976379,0.3411908447742462
open,gemma3_4b,ollama,structured,20,Photo editing tools,4,Performance & Stability,"The app's speed, responsiveness, and reliability – avoiding crashes or lag.",,,41,449,aggregated_voting,0.42749083042144775,0.6593755483627319,0.18042424321174622
open,qwen3_8b,ollama,structured,20,View account balances,5,Integration Capabilities,"Apps that seamlessly connect with multiple banks, credit cards, and financial accounts",,,42,300,aggregated_voting,0.4453064203262329,0.6899070143699646,0.1956280618906021
