model,feature,rbo
anthropic,Set fitness goals,0.9367080287762519
anthropic,Track weight,0.8240651087124764
anthropic,Follow training plans,0.7764545546705068
anthropic,View progress charts,0.8377486489055865
anthropic,Get audio coaching,0.8672911561733199
anthropic,Track routes on map,0.9278387763659538
anthropic,Diet planning,0.9333898458809679
anthropic,Calorie tracking,0.9336209254303806
anthropic,Turn-by-turn navigation,0.9422746134822602
anthropic,Find nearby places,0.8747626125943021
anthropic,View maps offline,0.8477175067156631
anthropic,Check public transport routes,0.8982134365590961
anthropic,Save favorite locations,0.9656935870660883
anthropic,Real-time traffic updates,0.9349565454970161
anthropic,Stream music,0.987342251441385
anthropic,Create playlists,0.9645136909603003
anthropic,Download content for offline use,0.9602757974445819
anthropic,Audio playback controls,0.98502692253325
anthropic,Record audio,0.6036557711385387
anthropic,Edit audio files,0.8988759903719755
anthropic,Access breaking news,0.9108131082688491
anthropic,Personalized news feed,0.9588800774360524
anthropic,Read articles offline,0.8719112307210856
anthropic,Bookmark articles,0.9451748317602875
anthropic,Search news topics,0.9367647524885131
anthropic,Listen to interviews,0.9283702879771218
anthropic,Receive news notifications,0.8659741856765134
anthropic,Browse by categories,0.8683482495367124
anthropic,Set wallpapers,0.6849529889279187
anthropic,Customize themes,0.3493938012954876
anthropic,Change fonts,0.32642537650556736
anthropic,Automatic wallpaper rotation,0.629760552476285
anthropic,Customize interface settings,0.538205799994342
anthropic,Photo editing tools,0.9177253346165659
anthropic,Apply filters and effects,0.8883366394726522
anthropic,Create collages,0.6439942886757117
anthropic,Adjust image settings,0.9207093826023315
anthropic,Save images locally,0.8330270576404486
anthropic,Share edited photos,0.9167476182631457
anthropic,Backup and restore data,0.6558208353578312
anthropic,Sync across devices,0.8761519882517378
anthropic,Search for products,0.9624105736367794
anthropic,Compare prices,0.8939687554325598
anthropic,Add items to wishlist,0.9244085252028684
anthropic,Secure checkout,0.7219164074850603
anthropic,Track order delivery status,0.8348424032014242
anthropic,Browse by category,0.8709182974474567
anthropic,View product reviews,0.7322534758789406
anthropic,Barcode scanning for items,0.8702965430974435
anthropic,Manage shopping cart,0.9566666947700452
anthropic,Receive daily promotions,0.8816290909019446
anthropic,Share photos and videos,0.9479824718218096
anthropic,Follow users,0.9829135677471073
anthropic,Post content updates,0.89551506750002
anthropic,Share content on social networks,0.9558655091373855
anthropic,Discover new people,0.8718321595049374
anthropic,Comment on posts,0.9362541983404912
anthropic,Receive push notifications,0.9359351303096162
anthropic,File management,0.8663884669503535
anthropic,Search with suggestions,0.787032655397068
anthropic,Book taxis,0.9142458071824892
anthropic,Track taxi location,0.9334659338116844
anthropic,Calculate fares,0.8625348917203635
anthropic,Share media,0.9347761692342696
anthropic,Access subtitles,0.8332701208060483
anthropic,Video quality control,0.9611582385402829
anthropic,Weather forecast,0.9475739168728342
mistral,Read ebooks,0.8150641839743168
mistral,Download books,0.9411896494743851
mistral,Sync reading progress,0.87748403089035
mistral,Highlight text,0.8405394726370929
mistral,Search within books,0.9221743014282661
mistral,Send messages,0.9453573418527271
mistral,Private chat with users,0.9554203316300326
mistral,Real-time messaging,0.9780205622963629
mistral,Access courses,0.9692977655073027
mistral,Watch lectures,0.9326789485727903
mistral,Take quizzes,0.9380436815707085
mistral,Track learning progress,0.9118398919732428
mistral,Offline learning,0.9205452766806428
mistral,Watch live TV,0.8010090948317218
mistral,Watch videos,0.9821945615926292
mistral,Transfer money,0.9770694590598269
mistral,Send money to anyone,0.9487796547773578
mistral,Receive money,0.9677567190639284
mistral,Pay bills,0.5144195578023237
mistral,Pay credit card bills,0.9240833010022604
mistral,Schedule payments,0.4325227774068998
mistral,Share payments,0.9451996130566963
mistral,View account balances,0.7833576482086271
mistral,View transaction history,0.5704227961200248
mistral,Receive payment receipts,0.9581553192629136
mistral,Store bill details securely,0.9334759204089761
mistral,Activate cards for overseas usage,0.9812895505561051
mistral,Currency converter,0.9093300340166732
mistral,Financial calculators,0.6776565833628715
mistral,Remittances overseas,0.9768417973326515
mistral,Track workouts,0.8623812953256826
mistral,Monitor heart rate,0.9530569157116635
mistral,Set fitness goals,0.9373143319602163
mistral,Track weight,0.9500467548879757
mistral,Follow training plans,0.8929544162214478
mistral,View progress charts,0.8999730930387986
mistral,Get audio coaching,0.9911757635010583
mistral,Track routes on map,0.7395633966411391
mistral,Diet planning,0.9373838899410335
mistral,Calorie tracking,0.9231607850382147
mistral,Turn-by-turn navigation,0.9485120287904641
mistral,Find nearby places,0.8474774956982366
mistral,View maps offline,0.8922942963715906
mistral,Check public transport routes,0.9192450493255775
mistral,Save favorite locations,0.9331863431871948
mistral,Real-time traffic updates,0.9521984762666583
mistral,Stream music,0.9717963117038303
mistral,Create playlists,0.958940041074009
mistral,Download content for offline use,0.9660132841793788
mistral,Audio playback controls,0.9778296431975775
mistral,Record audio,0.8588492194446462
mistral,Edit audio files,0.8384806692404843
mistral,Access breaking news,0.9357891164509299
mistral,Personalized news feed,0.8727879596979571
mistral,Read articles offline,0.9622409078075541
mistral,Bookmark articles,0.9259954022185239
mistral,Search news topics,0.9372882013140187
mistral,Listen to interviews,0.9563732551345046
mistral,Receive news notifications,0.9782188138084362
mistral,Browse by categories,0.9856052551236512
mistral,Set wallpapers,0.7307678876940115
mistral,Customize themes,0.8570051957991277
mistral,Change fonts,0.4830302229282471
mistral,Automatic wallpaper rotation,0.7140073698951855
mistral,Customize interface settings,0.9140447836042455
mistral,Photo editing tools,0.9308137966041028
mistral,Apply filters and effects,0.8554705220490839
mistral,Create collages,0.913612974890088
mistral,Adjust image settings,0.7539942615745503
mistral,Save images locally,0.8193260484411546
mistral,Share edited photos,0.6510739884160168
mistral,Backup and restore data,0.8855840515240387
mistral,Sync across devices,0.7677750879559454
mistral,Search for products,0.6660843931626172
mistral,Compare prices,0.7613761746728188
mistral,Add items to wishlist,0.9691827619528124
mistral,Secure checkout,0.7310201453424493
mistral,Track order delivery status,0.9065285086554601
mistral,Browse by category,0.9771311547603712
mistral,View product reviews,0.987998273790793
mistral,Barcode scanning for items,0.5880500177814925
mistral,Manage shopping cart,0.987664723897173
mistral,Receive daily promotions,0.7242480848498845
mistral,Share photos and videos,0.9567933012437657
mistral,Follow users,0.9744136434818791
mistral,Post content updates,0.9308082810942857
mistral,Share content on social networks,0.9532312017726606
mistral,Discover new people,0.9378310423926899
mistral,Comment on posts,0.9683345500270049
mistral,Receive push notifications,0.9940540870294321
mistral,File management,0.9602718606523976
mistral,Search with suggestions,0.8879896246806788
mistral,Book taxis,0.9371036810403972
mistral,Track taxi location,0.9147952292366675
mistral,Calculate fares,0.9658472854252742
mistral,Share media,0.8007577152680192
mistral,Access subtitles,0.9834972516775394
mistral,Video quality control,0.8012760485507289
mistral,Weather forecast,0.9347944417254965
