feature,model1,model2,jaccard
Keeping up with friends,anthropic,mistral,0.47355486922338985
Keeping up with friends,anthropic,openai,0.23069571756298832
Keeping up with friends,anthropic,perplexity,0.005263157894736842
Keeping up with friends,gemini,mistral,0.29320382917893223
Keeping up with friends,gemini,openai,0.21104417733564493
Keeping up with friends,gemini,perplexity,0.06268456216940428
Keeping up with friends,mistral,openai,0.15986984236509855
Keeping up with friends,mistral,perplexity,0.015519568151147096
Keeping up with friends,openai,perplexity,0.09290346448241184
List items for sale,anthropic,gemini,0.3840177233058212
List items for sale,anthropic,mistral,0.48777721639790605
List items for sale,anthropic,openai,0.3947866136253233
List items for sale,anthropic,perplexity,0.3846100709738085
List items for sale,gemini,mistral,0.41122437221658587
List items for sale,gemini,openai,0.44692908368770445
List items for sale,gemini,perplexity,0.4536875850841369
List items for sale,mistral,openai,0.4603402608829895
List items for sale,mistral,perplexity,0.49565742214362907
List items for sale,openai,perplexity,0.46926454324730194
Photo effects,anthropic,gemini,0.2019757594317907
Photo effects,anthropic,mistral,0.26325177750339696
Photo effects,anthropic,openai,0.2648518131086998
Photo effects,anthropic,perplexity,0.2713209257053855
Photo effects,gemini,mistral,0.24811922399323433
Photo effects,gemini,openai,0.2810651303700771
Photo effects,gemini,perplexity,0.24018079394625802
Photo effects,mistral,openai,0.26923444066675106
Photo effects,mistral,perplexity,0.278871051709934
Photo effects,openai,perplexity,0.2544533584694875
Play games,anthropic,gemini,0.1683042431037537
Play games,anthropic,mistral,0.5269367745919471
Play games,anthropic,openai,0.0010323886639676113
Play games,anthropic,perplexity,0.19319508817284123
Play games,gemini,mistral,0.15957150367367087
Play games,gemini,openai,0.003097165991902834
Play games,gemini,perplexity,0.15944249788052844
Play games,mistral,openai,0.0051619433198380575
Play games,mistral,perplexity,0.22231309482667197
Play games,openai,perplexity,0.010323886639676112
Play playlist on shuffle mode,anthropic,gemini,0.19333909202994046
Play playlist on shuffle mode,anthropic,mistral,0.30389321468298114
Play playlist on shuffle mode,anthropic,openai,0.2989247311827957
Play playlist on shuffle mode,anthropic,perplexity,0.18886601207046694
Play playlist on shuffle mode,gemini,mistral,0.16117130023663598
Play playlist on shuffle mode,gemini,openai,0.15952917108089518
Play playlist on shuffle mode,gemini,perplexity,0.1748782377099762
Play playlist on shuffle mode,mistral,openai,0.686018445322793
Play playlist on shuffle mode,mistral,perplexity,0.12795930439094325
Play playlist on shuffle mode,openai,perplexity,0.10486151275624957
Rate movies,anthropic,gemini,0.20421752083042402
Rate movies,anthropic,mistral,0.17961584314051104
Rate movies,anthropic,openai,0.254581311946358
Rate movies,anthropic,perplexity,0.2980373198368683
Rate movies,gemini,mistral,0.15654055889350008
Rate movies,gemini,openai,0.18608387842733198
Rate movies,gemini,perplexity,0.2225630063263381
Rate movies,mistral,openai,0.1264265105286777
Rate movies,mistral,perplexity,0.1662638203929525
Rate movies,openai,perplexity,0.24004265654252566
Search for offer on item,anthropic,gemini,0.2119884211335067
Search for offer on item,anthropic,mistral,0.3318647997282757
Search for offer on item,anthropic,openai,0.2715809127439697
Search for offer on item,anthropic,perplexity,0.029297455350086935
Search for offer on item,gemini,mistral,0.21354559672616027
Search for offer on item,gemini,openai,0.31808593322693957
Search for offer on item,gemini,perplexity,0.11508758372001156
Search for offer on item,mistral,openai,0.2681392858488324
Search for offer on item,mistral,perplexity,0.028296086717139346
Search for offer on item,openai,perplexity,0.11736051962058155
Send files,anthropic,gemini,0.2059429959667151
Send files,anthropic,mistral,0.18225128761181889
Send files,anthropic,openai,0.2776946775721558
Send files,anthropic,perplexity,0.22565577655203384
Send files,gemini,mistral,0.08818782273890631
Send files,gemini,openai,0.2787065154147861
Send files,gemini,perplexity,0.15548839046192492
Send files,mistral,openai,0.1023617047146459
Send files,mistral,perplexity,0.19675245434405933
Send files,openai,perplexity,0.25486835086390147
Watch streams,anthropic,gemini,0.22368863299435454
Watch streams,anthropic,mistral,0.6131051227632937
Watch streams,anthropic,openai,0.22810608379585942
Watch streams,anthropic,perplexity,0.1718125497537262
Watch streams,gemini,mistral,0.2326893629965756
Watch streams,gemini,openai,0.21879918377635993
Watch streams,gemini,perplexity,0.17949034941444808
Watch streams,mistral,openai,0.23015874767294645
Watch streams,mistral,perplexity,0.17376372151988848
Watch streams,openai,perplexity,0.1676614028084616
Write notes,anthropic,gemini,0.3252114989612209
Write notes,anthropic,mistral,0.44920357739323263
Write notes,anthropic,openai,0.37338118644014096
Write notes,anthropic,perplexity,0.34250693009869876
Write notes,gemini,mistral,0.39095785440613035
Write notes,gemini,openai,0.3549806486925508
Write notes,gemini,perplexity,0.38789786114268887
Write notes,mistral,openai,0.471080336968268
Write notes,mistral,perplexity,0.4430545380545381
Write notes,openai,perplexity,0.4696133496133496
