feature,model1,model2,rbo
Rate movies,anthropic,perplexity,0.304644664695527
Rate movies,gemini,mistral,0.632001038953105
Rate movies,gemini,openai,0.29311167461961735
Rate movies,gemini,perplexity,0.29827883425424234
Rate movies,mistral,openai,0.2527325979271894
Rate movies,mistral,perplexity,0.2565208042021185
Rate movies,openai,perplexity,0.22790322371347393
Search for offer on item,anthropic,gemini,0.24055409450515505
Search for offer on item,anthropic,mistral,0.5103111631858529
Search for offer on item,anthropic,openai,0.31495722682422655
Search for offer on item,anthropic,perplexity,0.006145245224356637
Search for offer on item,gemini,mistral,0.20694323309548157
Search for offer on item,gemini,openai,0.37973934000707726
Search for offer on item,gemini,perplexity,0.21338485227252885
Search for offer on item,mistral,openai,0.3086635207644946
Search for offer on item,mistral,perplexity,0.0035980888011880345
Search for offer on item,openai,perplexity,0.38265637593683804
Send files,anthropic,gemini,0.5265181484643618
Send files,anthropic,mistral,0.18211060855159522
Send files,anthropic,openai,0.5462282040312156
Send files,anthropic,perplexity,0.37281857432325866
Send files,gemini,mistral,0.11215403807079875
Send files,gemini,openai,0.5494990686854478
Send files,gemini,perplexity,0.26078801313189864
Send files,mistral,openai,0.15126549392250238
Send files,mistral,perplexity,0.23532302481802536
Send files,openai,perplexity,0.25599727006963646
Watch streams,anthropic,gemini,0.39205625135035255
Watch streams,anthropic,mistral,0.7514349842115223
Watch streams,anthropic,openai,0.194957189594716
Watch streams,anthropic,perplexity,0.21257707559813774
Watch streams,gemini,mistral,0.27714913712979533
Watch streams,gemini,openai,0.20548361809583984
Watch streams,gemini,perplexity,0.4238046749319505
Watch streams,mistral,openai,0.18926300746414107
Watch streams,mistral,perplexity,0.16291733202689446
Watch streams,openai,perplexity,0.1456323826255569
Write notes,anthropic,gemini,0.47219071384468186
Write notes,anthropic,mistral,0.5152082288398888
Write notes,anthropic,openai,0.47582062279229204
Write notes,anthropic,perplexity,0.41283961212954046
Write notes,gemini,mistral,0.601253456418473
Write notes,gemini,openai,0.6651436609978245
Write notes,gemini,perplexity,0.6367158468459688
Write notes,mistral,openai,0.6763705230866541
Write notes,mistral,perplexity,0.5524333490833057
Write notes,openai,perplexity,0.6276966036844354
