feature,model1,model2,jaccard
List items for sale,mistral,perplexity,0.23
List items for sale,openai,perplexity,0.36900000000000005
Photo effects,anthropic,gemini,0.39
Photo effects,anthropic,mistral,0.7190000000000001
Photo effects,anthropic,openai,0.47
Photo effects,anthropic,perplexity,0.423
Photo effects,gemini,mistral,0.3630000000000001
Photo effects,gemini,openai,0.3690000000000001
Photo effects,gemini,perplexity,0.21600000000000003
Photo effects,mistral,openai,0.4160000000000001
Photo effects,mistral,perplexity,0.36899999999999994
Photo effects,openai,perplexity,0.17999999999999994
Play games,anthropic,gemini,0.06000000000000001
Play games,anthropic,mistral,0.02
Play games,anthropic,openai,0.0
Play games,anthropic,perplexity,0.0
Play games,gemini,mistral,0.07400000000000001
Play games,gemini,openai,0.0
Play games,gemini,perplexity,0.14100000000000001
Play games,mistral,openai,0.0
Play games,mistral,perplexity,0.054000000000000006
Play games,openai,perplexity,0.0
Play playlist on shuffle mode,anthropic,gemini,0.7
Play playlist on shuffle mode,anthropic,mistral,1.0
Play playlist on shuffle mode,anthropic,openai,0.5
Play playlist on shuffle mode,anthropic,perplexity,0.13999999999999996
Play playlist on shuffle mode,gemini,mistral,0.7
Play playlist on shuffle mode,gemini,openai,0.35
Play playlist on shuffle mode,gemini,perplexity,0.09799999999999998
Play playlist on shuffle mode,mistral,openai,0.5
Play playlist on shuffle mode,mistral,perplexity,0.13999999999999996
Play playlist on shuffle mode,openai,perplexity,0.13999999999999996
Rate movies,anthropic,gemini,0.62
Rate movies,anthropic,mistral,0.65
Rate movies,anthropic,openai,0.19999999999999996
Rate movies,anthropic,perplexity,0.19999999999999996
Rate movies,gemini,mistral,0.9
Rate movies,gemini,openai,0.19999999999999996
Rate movies,gemini,perplexity,0.19999999999999996
Rate movies,mistral,openai,0.19999999999999996
Rate movies,mistral,perplexity,0.19999999999999996
Rate movies,openai,perplexity,0.206
Search for offer on item,anthropic,gemini,0.08999999999999998
Search for offer on item,anthropic,mistral,0.6
Search for offer on item,anthropic,openai,0.23399999999999999
Search for offer on item,anthropic,perplexity,0.0
Search for offer on item,gemini,mistral,0.08999999999999997
Search for offer on item,gemini,openai,0.14299999999999996
Search for offer on item,gemini,perplexity,0.111
Search for offer on item,mistral,openai,0.20999999999999996
Search for offer on item,mistral,perplexity,0.0
Search for offer on item,openai,perplexity,0.17999999999999994
Send files,anthropic,gemini,0.738
Send files,anthropic,mistral,0.04
Send files,anthropic,openai,0.364
Send files,anthropic,perplexity,0.236
Send files,gemini,mistral,0.029000000000000005
Send files,gemini,openai,0.3690000000000001
Send files,gemini,perplexity,0.239
Send files,mistral,openai,0.039
Send files,mistral,perplexity,0.06199999999999999
Send files,openai,perplexity,0.022000000000000002
Watch streams,anthropic,gemini,0.23800000000000002
Watch streams,anthropic,mistral,0.95
Watch streams,anthropic,openai,0.149
Watch streams,anthropic,perplexity,0.144
Watch streams,gemini,mistral,0.26
Watch streams,gemini,openai,0.15299999999999994
Watch streams,gemini,perplexity,0.4480000000000001
Watch streams,mistral,openai,0.15999999999999998
Watch streams,mistral,perplexity,0.15999999999999998
Watch streams,openai,perplexity,0.11199999999999999
Write notes,anthropic,gemini,0.248
Write notes,anthropic,mistral,0.44
Write notes,anthropic,openai,0.304
Write notes,anthropic,perplexity,0.28
Write notes,gemini,mistral,0.5400000000000001
Write notes,gemini,openai,0.544
Write notes,gemini,perplexity,0.41000000000000014
Write notes,mistral,openai,0.67
Write notes,mistral,perplexity,0.71
Write notes,openai,perplexity,0.509
