feature,model1,model2,rbo
List items for sale,gemini,mistral,0.7343173431734317
List items for sale,gemini,openai,0.6464944649446493
List items for sale,gemini,perplexity,0.31151291512915136
List items for sale,mistral,openai,0.5169741697416973
List items for sale,mistral,perplexity,0.10959409594095942
List items for sale,openai,perplexity,0.3660885608856088
Photo effects,anthropic,gemini,0.2760147601476015
Photo effects,anthropic,mistral,0.48527675276752774
Photo effects,anthropic,openai,0.3553505535055352
Photo effects,anthropic,perplexity,0.3198154981549816
Photo effects,gemini,mistral,0.25948339483394833
Photo effects,gemini,openai,0.32549815498154977
Photo effects,gemini,perplexity,0.23276752767527684
Photo effects,mistral,openai,0.3676752767527676
Photo effects,mistral,perplexity,0.32383763837638385
Photo effects,openai,perplexity,0.5343173431734318
Play games,anthropic,gemini,0.04649446494464945
Play games,anthropic,mistral,0.016605166051660517
Play games,anthropic,openai,0.0
Play games,anthropic,perplexity,0.0
Play games,gemini,mistral,0.08169741697416974
Play games,gemini,openai,0.0
Play games,gemini,perplexity,0.13612546125461258
Play games,mistral,openai,0.0
Play games,mistral,perplexity,0.07173431734317344
Play games,openai,perplexity,0.0
Play playlist on shuffle mode,anthropic,gemini,0.6485239852398524
Play playlist on shuffle mode,anthropic,mistral,0.9833948339483395
Play playlist on shuffle mode,anthropic,openai,0.8837638376383761
Play playlist on shuffle mode,anthropic,perplexity,0.06974169741697417
Play playlist on shuffle mode,gemini,mistral,0.6501845018450184
Play playlist on shuffle mode,gemini,openai,0.5804428044280444
Play playlist on shuffle mode,gemini,perplexity,0.048819188191881906
Play playlist on shuffle mode,mistral,openai,0.9003690036900366
Play playlist on shuffle mode,mistral,perplexity,0.06974169741697417
Play playlist on shuffle mode,openai,perplexity,0.06974169741697417
Rate movies,anthropic,gemini,0.8504797047970478
Rate movies,anthropic,mistral,0.9302583025830258
Rate movies,anthropic,openai,0.26568265682656833
Rate movies,anthropic,perplexity,0.09963099630996312
Rate movies,gemini,mistral,0.906273062730627
Rate movies,gemini,openai,0.3394833948339484
Rate movies,gemini,perplexity,0.09963099630996312
Rate movies,mistral,openai,0.26568265682656833
Rate movies,mistral,perplexity,0.09963099630996312
Rate movies,openai,perplexity,0.10162361623616238
Search for offer on item,anthropic,gemini,0.16180811808118079
Search for offer on item,anthropic,mistral,0.38523985239852393
Search for offer on item,anthropic,openai,0.24044280442804436
Search for offer on item,anthropic,perplexity,0.0
Search for offer on item,gemini,mistral,0.07306273062730625
Search for offer on item,gemini,openai,0.23845018450184496
Search for offer on item,gemini,perplexity,0.2156088560885609
Search for offer on item,mistral,openai,0.2859778597785978
Search for offer on item,mistral,perplexity,0.0
Search for offer on item,openai,perplexity,0.5712177121771218
Send files,anthropic,gemini,0.5335424354243543
Send files,anthropic,mistral,0.06505535055350553
Send files,anthropic,openai,0.36132841328413284
Send files,anthropic,perplexity,0.46066420664206637
Send files,gemini,mistral,0.028634686346863468
Send files,gemini,openai,0.6422878228782289
Send files,gemini,perplexity,0.21811808118081177
Send files,mistral,openai,0.024243542435424356
Send files,mistral,perplexity,0.08929889298892987
Send files,openai,perplexity,0.010959409594095944
Watch streams,anthropic,gemini,0.607749077490775
Watch streams,anthropic,mistral,0.5380073800738008
Watch streams,anthropic,openai,0.18000000000000008
Watch streams,anthropic,perplexity,0.31250922509225093
Watch streams,gemini,mistral,0.21918819188191882
Watch streams,gemini,openai,0.190959409594096
Watch streams,gemini,perplexity,0.5531365313653137
Watch streams,mistral,openai,0.14612546125461254
Watch streams,mistral,perplexity,0.12121771217712177
Watch streams,openai,perplexity,0.11391143911439114
Write notes,anthropic,gemini,0.19431734317343174
Write notes,anthropic,mistral,0.34538745387453884
Write notes,anthropic,openai,0.14811808118081182
Write notes,anthropic,perplexity,0.21520295202952033
Write notes,gemini,mistral,0.3487084870848708
Write notes,gemini,openai,0.4965313653136531
Write notes,gemini,perplexity,0.5738007380073801
Write notes,mistral,openai,0.5464944649446494
Write notes,mistral,perplexity,0.3453874538745388
Write notes,openai,perplexity,0.5132472324723247
