open_model,proprietary_model,feature,rbo
llama31_8b,openai,Receive money,0.6872892958875123
llama31_8b,openai,Receive news notifications,0.4905929449778155
llama31_8b,openai,Receive payment receipts,0.2904931843194642
llama31_8b,openai,Receive push notifications,0.36574814389984317
llama31_8b,openai,Record audio,0.04912217411460992
llama31_8b,openai,Remittances overseas,0.39279103347116195
llama31_8b,openai,Save favorite locations,0.6029158326556842
llama31_8b,openai,Save images locally,0.4309451023641383
llama31_8b,openai,Schedule payments,0.0162465075851092
llama31_8b,openai,Search for products,0.3050532665209637
llama31_8b,openai,Search news topics,0.6246052860930226
llama31_8b,openai,Search with suggestions,0.21531780740964354
llama31_8b,openai,Search within books,0.3490730240587732
llama31_8b,openai,Secure checkout,0.34607577927937283
llama31_8b,openai,Send messages,0.7204997584113753
llama31_8b,openai,Send money to anyone,0.7123699135736267
llama31_8b,openai,Set fitness goals,0.5205523715764439
llama31_8b,openai,Set wallpapers,0.006556789988341171
llama31_8b,openai,Share content on social networks,0.5064446948924215
llama31_8b,openai,Share edited photos,0.19767514547626644
llama31_8b,openai,Share media,0.5511453059068256
llama31_8b,openai,Share payments,0.5930918327900945
llama31_8b,openai,Share photos and videos,0.6978320592495225
llama31_8b,openai,Store bill details securely,0.04862649938521537
llama31_8b,openai,Stream music,0.6527795767669479
llama31_8b,openai,Sync across devices,0.5823205926051225
llama31_8b,openai,Sync reading progress,0.1878900141571129
llama31_8b,openai,Take quizzes,0.30437593711611016
llama31_8b,openai,Track learning progress,0.6532261512368076
llama31_8b,openai,Track order delivery status,0.02267149850151686
llama31_8b,openai,Track routes on map,0.180260707086349
llama31_8b,openai,Track taxi location,0.23077298740841123
llama31_8b,openai,Track weight,0.47482979769689243
llama31_8b,openai,Track workouts,0.4706117832308259
llama31_8b,openai,Transfer money,0.7375267371781926
llama31_8b,openai,Turn-by-turn navigation,0.7358875067534875
llama31_8b,openai,Video quality control,0.17736643131431115
llama31_8b,openai,View account balances,0.24409084708319642
llama31_8b,openai,View maps offline,0.44583592014388357
llama31_8b,openai,View product reviews,0.34718401230258394
llama31_8b,openai,View progress charts,0.4230521467206607
llama31_8b,openai,View transaction history,0.043254416322449814
llama31_8b,openai,Watch lectures,0.4826389512192259
llama31_8b,openai,Watch live TV,0.354392581695174
llama31_8b,openai,Watch videos,0.6571958326846964
llama31_8b,openai,Weather forecast,0.4004437057100291
llama31_8b,gemini,Access breaking news,0.506743994421123
llama31_8b,gemini,Access courses,0.6930436160062057
llama31_8b,gemini,Access subtitles,0.29789752787911405
llama31_8b,gemini,Activate cards for overseas usage,0.20517079107019065
llama31_8b,gemini,Add items to wishlist,0.16051255869375491
llama31_8b,gemini,Adjust image settings,0.4644957463444491
llama31_8b,gemini,Apply filters and effects,0.2799852009206267
llama31_8b,gemini,Audio playback controls,0.40363394444965034
llama31_8b,gemini,Automatic wallpaper rotation,0.012234893503142639
llama31_8b,gemini,Backup and restore data,0.5064635137434355
llama31_8b,gemini,Barcode scanning for items,0.09605211156177094
llama31_8b,gemini,Book taxis,0.5508081203727003
llama31_8b,gemini,Bookmark articles,0.49532385591203015
llama31_8b,gemini,Browse by categories,0.18496356136259437
llama31_8b,gemini,Browse by category,0.19593092298296166
llama31_8b,gemini,Calculate fares,0.44627345268770163
llama31_8b,gemini,Calorie tracking,0.6013635008042095
llama31_8b,gemini,Change fonts,0.015332003037331782
llama31_8b,gemini,Check public transport routes,0.5100884419820798
llama31_8b,gemini,Comment on posts,0.5339848431917119
llama31_8b,gemini,Compare prices,0.19587472568624642
llama31_8b,gemini,Create collages,0.08949437312025509
llama31_8b,gemini,Create playlists,0.6487823186086594
llama31_8b,gemini,Currency converter,0.09546538618625905
llama31_8b,gemini,Customize interface settings,0.08984597236314135
llama31_8b,gemini,Customize themes,0.02408148963110612
llama31_8b,gemini,Diet planning,0.5431456232888194
llama31_8b,gemini,Discover new people,0.6284662753062455
llama31_8b,gemini,Download books,0.1437004750881524
llama31_8b,gemini,Download content for offline use,0.1015546661314803
llama31_8b,gemini,Edit audio files,0.18016875426623108
llama31_8b,gemini,File management,0.0510379319675399
llama31_8b,gemini,Financial calculators,3.336426863460754e-05
llama31_8b,gemini,Find nearby places,0.488179839328396
llama31_8b,gemini,Follow training plans,0.3281184609062603
llama31_8b,gemini,Follow users,0.49730814072190577
llama31_8b,gemini,Get audio coaching,0.07908166842879737
llama31_8b,gemini,Highlight text,0.04229901741494344
llama31_8b,gemini,Listen to interviews,0.05962929726380478
llama31_8b,gemini,Manage shopping cart,0.21938803590292402
llama31_8b,gemini,Monitor heart rate,0.1045286309332373
llama31_8b,gemini,Offline learning,0.6038518294301809
llama31_8b,gemini,Pay bills,0.10365980430328467
llama31_8b,gemini,Pay credit card bills,0.011383317568756464
llama31_8b,gemini,Personalized news feed,0.43569999223497397
llama31_8b,gemini,Photo editing tools,0.5583205549517722
llama31_8b,gemini,Post content updates,0.48775276449498334
llama31_8b,gemini,Private chat with users,0.5554747276125492
llama31_8b,gemini,Read articles offline,0.5429900843824206
llama31_8b,gemini,Read ebooks,0.14349236339326737
llama31_8b,gemini,Real-time messaging,0.5632233924067174
llama31_8b,gemini,Real-time traffic updates,0.45294896858182865
llama31_8b,gemini,Receive daily promotions,0.2720629384666028
llama31_8b,gemini,Receive money,0.6871550585767793
llama31_8b,gemini,Receive news notifications,0.3488588785164072
llama31_8b,gemini,Receive payment receipts,0.27185729943286785
llama31_8b,gemini,Receive push notifications,0.28076138189957
llama31_8b,gemini,Record audio,0.1278725255820918
llama31_8b,gemini,Remittances overseas,0.30207633256247307
llama31_8b,gemini,Save favorite locations,0.6774479441901897
llama31_8b,gemini,Save images locally,0.1906637362025472
llama31_8b,gemini,Schedule payments,0.01644460096882175
llama31_8b,gemini,Search for products,0.1821588832250805
llama31_8b,gemini,Search news topics,0.5778012116184804
llama31_8b,gemini,Search with suggestions,0.24089054504620158
llama31_8b,gemini,Search within books,0.27118798088333856
llama31_8b,gemini,Secure checkout,0.12927642887165985
llama31_8b,gemini,Send messages,0.6175546992544831
llama31_8b,gemini,Send money to anyone,0.6972307589134823
llama31_8b,gemini,Set fitness goals,0.4418640795580677
llama31_8b,gemini,Set wallpapers,0.012896210538365486
llama31_8b,gemini,Share content on social networks,0.395707902088963
llama31_8b,gemini,Share edited photos,0.28535491949473124
llama31_8b,gemini,Share media,0.5009058934657231
llama31_8b,gemini,Share payments,0.43960569144328515
llama31_8b,gemini,Share photos and videos,0.6540383028367188
llama31_8b,gemini,Store bill details securely,0.03769173888432881
llama31_8b,gemini,Stream music,0.671116334164503
llama31_8b,gemini,Sync across devices,0.16630791122014962
llama31_8b,gemini,Sync reading progress,0.1711336411217785
llama31_8b,gemini,Take quizzes,0.2886992091678242
llama31_8b,gemini,Track learning progress,0.6161088699983239
llama31_8b,gemini,Track order delivery status,0.02045668798309721
llama31_8b,gemini,Track routes on map,0.10084673800889256
llama31_8b,gemini,Track taxi location,0.23472045917214238
llama31_8b,gemini,Track weight,0.49508832836393024
llama31_8b,gemini,Track workouts,0.25125317942281933
llama31_8b,gemini,Transfer money,0.6436626819542199
llama31_8b,gemini,Turn-by-turn navigation,0.6835652515072097
llama31_8b,gemini,Video quality control,0.021824078835265805
llama31_8b,gemini,View account balances,0.010507943193667236
llama31_8b,gemini,View maps offline,0.35892204406751027
llama31_8b,gemini,View product reviews,0.1506215989361572
llama31_8b,gemini,View progress charts,0.35156126355502054
llama31_8b,gemini,View transaction history,0.016602635054310495
llama31_8b,gemini,Watch lectures,0.494873653814039
llama31_8b,gemini,Watch live TV,0.3661042354384748
llama31_8b,gemini,Watch videos,0.5809870352574303
llama31_8b,gemini,Weather forecast,0.3463273328767186
llama31_8b,anthropic,Access breaking news,0.6282351215348488
llama31_8b,anthropic,Access courses,0.7247604361012933
llama31_8b,anthropic,Access subtitles,0.3452103265287812
llama31_8b,anthropic,Activate cards for overseas usage,0.2312893827692551
llama31_8b,anthropic,Add items to wishlist,0.17844947201239938
llama31_8b,anthropic,Adjust image settings,0.4740551797107729
llama31_8b,anthropic,Apply filters and effects,0.3677930703981625
llama31_8b,anthropic,Audio playback controls,0.4951819725013993
llama31_8b,anthropic,Automatic wallpaper rotation,0.03278660572613412
llama31_8b,anthropic,Backup and restore data,0.29135215915402474
llama31_8b,anthropic,Barcode scanning for items,0.3552050871698496
llama31_8b,anthropic,Book taxis,0.5925309813346673
llama31_8b,anthropic,Bookmark articles,0.6167435881902877
llama31_8b,anthropic,Browse by categories,0.17726811680839596
llama31_8b,anthropic,Browse by category,0.1269966718354496
llama31_8b,anthropic,Calculate fares,0.4164508706310965
llama31_8b,anthropic,Calorie tracking,0.5798823005199394
llama31_8b,anthropic,Change fonts,0.0
llama31_8b,anthropic,Check public transport routes,0.5021314883451367
llama31_8b,anthropic,Comment on posts,0.610238747820218
llama31_8b,anthropic,Compare prices,0.2617526093043545
llama31_8b,anthropic,Create collages,0.156340248820168
llama31_8b,anthropic,Create playlists,0.6958818846668642
llama31_8b,anthropic,Currency converter,0.11620952586708908
llama31_8b,anthropic,Customize interface settings,0.10725077855270705
llama31_8b,anthropic,Customize themes,0.025374542677134092
llama31_8b,anthropic,Diet planning,0.48760499090961884
llama31_8b,anthropic,Discover new people,0.6050379710905575
llama31_8b,anthropic,Download books,0.2656925393883697
llama31_8b,anthropic,Download content for offline use,0.10193334061853732
llama31_8b,anthropic,Edit audio files,0.3924279745573703
llama31_8b,anthropic,File management,0.06537495849112125
llama31_8b,anthropic,Financial calculators,0.0029886379624694754
llama31_8b,anthropic,Find nearby places,0.569600270496829
llama31_8b,anthropic,Follow training plans,0.33862018315167075
llama31_8b,anthropic,Follow users,0.600712125809703
llama31_8b,anthropic,Get audio coaching,0.1314638865076635
llama31_8b,anthropic,Highlight text,0.03289072897906608
llama31_8b,anthropic,Listen to interviews,0.06887832311517433
llama31_8b,anthropic,Manage shopping cart,0.290492538844033
llama31_8b,anthropic,Monitor heart rate,0.21837337313861915
llama31_8b,anthropic,Offline learning,0.5525978497666812
llama31_8b,anthropic,Pay bills,0.20785089553901404
llama31_8b,anthropic,Pay credit card bills,0.006842166136283631
llama31_8b,anthropic,Personalized news feed,0.488234460504683
llama31_8b,anthropic,Photo editing tools,0.44603512417583935
llama31_8b,anthropic,Post content updates,0.5401611805745596
llama31_8b,anthropic,Private chat with users,0.6764834884707779
llama31_8b,anthropic,Read articles offline,0.6802175941848239
llama31_8b,anthropic,Read ebooks,0.20739913151063455
llama31_8b,anthropic,Real-time messaging,0.6361127908328517
llama31_8b,anthropic,Real-time traffic updates,0.4508084768441063
llama31_8b,anthropic,Receive daily promotions,0.3251525549817783
llama31_8b,anthropic,Receive money,0.698174154073986
llama31_8b,anthropic,Receive news notifications,0.4870618590509979
llama31_8b,anthropic,Receive payment receipts,0.19701373046381868
llama31_8b,anthropic,Receive push notifications,0.3571200910515595
llama31_8b,anthropic,Record audio,0.1778368514878391
llama31_8b,anthropic,Remittances overseas,0.2942838148989704
llama31_8b,anthropic,Save favorite locations,0.6688450167115784
llama31_8b,anthropic,Save images locally,0.39573306558442445
llama31_8b,anthropic,Schedule payments,0.01651528753278973
llama31_8b,anthropic,Search for products,0.23895874527357036
llama31_8b,anthropic,Search news topics,0.6340704836374244
llama31_8b,anthropic,Search with suggestions,0.31977314523990025
llama31_8b,anthropic,Search within books,0.36250924177470556
llama31_8b,anthropic,Secure checkout,0.24429225802623006
llama31_8b,anthropic,Send messages,0.6665777829816565
llama31_8b,anthropic,Send money to anyone,0.6783541154506605
llama31_8b,anthropic,Set fitness goals,0.5712286560894267
llama31_8b,anthropic,Set wallpapers,0.007887899112443543
llama31_8b,anthropic,Share content on social networks,0.5908777416281095
llama31_8b,anthropic,Share edited photos,0.12518028156508704
llama31_8b,anthropic,Share media,0.47904329746913554
llama31_8b,anthropic,Share payments,0.633885345646603
llama31_8b,anthropic,Share photos and videos,0.731477370734993
llama31_8b,anthropic,Store bill details securely,0.05077275218792568
llama31_8b,anthropic,Stream music,0.7007223004930317
llama31_8b,anthropic,Sync across devices,0.15768002976442141
llama31_8b,anthropic,Sync reading progress,0.1887511541750575
llama31_8b,anthropic,Take quizzes,0.405907995994553
llama31_8b,anthropic,Track learning progress,0.6571747254580766
llama31_8b,anthropic,Track order delivery status,0.02851254047356063
llama31_8b,anthropic,Track routes on map,0.026373743755598804
llama31_8b,anthropic,Track taxi location,0.28331193615018124
llama31_8b,anthropic,Track weight,0.45565189338793743
llama31_8b,anthropic,Track workouts,0.3790642439451774
llama31_8b,anthropic,Transfer money,0.8005594195255119
llama31_8b,anthropic,Turn-by-turn navigation,0.7172201146176553
llama31_8b,anthropic,Video quality control,0.02048820603923397
llama31_8b,anthropic,View account balances,0.013042203165063318
llama31_8b,anthropic,View maps offline,0.43516771470052773
llama31_8b,anthropic,View product reviews,0.21207113012579173
llama31_8b,anthropic,View progress charts,0.40155169601957724
llama31_8b,anthropic,View transaction history,0.048099301485565696
llama31_8b,anthropic,Watch lectures,0.5011375400262666
llama31_8b,anthropic,Watch live TV,0.37834727996348533
llama31_8b,anthropic,Watch videos,0.6852664877434381
llama31_8b,anthropic,Weather forecast,0.4751103245832275
llama31_8b,mistral,Access breaking news,0.2358349059072696
llama31_8b,mistral,Access courses,0.7146660203724392
llama31_8b,mistral,Access subtitles,0.578309536175968
llama31_8b,mistral,Activate cards for overseas usage,0.24144903547127267
llama31_8b,mistral,Add items to wishlist,0.20748749302571906
llama31_8b,mistral,Adjust image settings,0.44037136615058464
llama31_8b,mistral,Apply filters and effects,0.29788737849725855
llama31_8b,mistral,Audio playback controls,0.5045459745444967
llama31_8b,mistral,Automatic wallpaper rotation,0.03427003162293196
llama31_8b,mistral,Backup and restore data,0.23514486730029638
llama31_8b,mistral,Barcode scanning for items,0.10598859838930423
llama31_8b,mistral,Book taxis,0.5895876160137651
llama31_8b,mistral,Bookmark articles,0.4618861325385001
llama31_8b,mistral,Browse by categories,0.0024900759792465814
llama31_8b,mistral,Browse by category,0.009717083624471816
llama31_8b,mistral,Calculate fares,0.3941532193594107
llama31_8b,mistral,Calorie tracking,0.6092044131187931
llama31_8b,mistral,Change fonts,0.022698866500258187
llama31_8b,mistral,Check public transport routes,0.5735849438851773
llama31_8b,mistral,Comment on posts,0.603754297566668
llama31_8b,mistral,Compare prices,0.2609363163107027
llama31_8b,mistral,Create collages,0.15979273511186895
llama31_8b,mistral,Create playlists,0.6863190757502876
llama31_8b,mistral,Currency converter,0.08834461792775525
llama31_8b,mistral,Customize interface settings,0.17732642130156384
llama31_8b,mistral,Customize themes,0.03485328570992421
llama31_8b,mistral,Diet planning,0.5660909449964361
llama31_8b,mistral,Discover new people,0.745742821404123
llama31_8b,mistral,Download books,0.24244179743243438
llama31_8b,mistral,Download content for offline use,0.11801365112207708
llama31_8b,mistral,Edit audio files,0.37236667199116147
llama31_8b,mistral,File management,0.0573757870367535
llama31_8b,mistral,Financial calculators,0.0005422562212399983
llama31_8b,mistral,Find nearby places,0.5102529871853265
llama31_8b,mistral,Follow training plans,0.3822442638249647
llama31_8b,mistral,Follow users,0.6245856072298515
llama31_8b,mistral,Get audio coaching,0.127890678038984
llama31_8b,mistral,Highlight text,0.05498721995090712
llama31_8b,mistral,Listen to interviews,0.07735685705931863
llama31_8b,mistral,Manage shopping cart,0.3470782050402235
llama31_8b,mistral,Monitor heart rate,0.21255442812499875
llama31_8b,mistral,Offline learning,0.6205014978340945
llama31_8b,mistral,Pay bills,0.18327051419751197
llama31_8b,mistral,Pay credit card bills,0.04779125844704196
llama31_8b,mistral,Personalized news feed,0.6051663443075823
llama31_8b,mistral,Photo editing tools,0.3657937371979591
llama31_8b,mistral,Post content updates,0.5619993061046045
llama31_8b,mistral,Private chat with users,0.7004520611920171
llama31_8b,mistral,Read articles offline,0.6350490254500547
llama31_8b,mistral,Read ebooks,0.2317936674916142
llama31_8b,mistral,Real-time messaging,0.7289981025691368
llama31_8b,mistral,Real-time traffic updates,0.5443862023174054
llama31_8b,mistral,Receive daily promotions,0.32422385246542523
llama31_8b,mistral,Receive money,0.7165073940996283
llama31_8b,mistral,Receive news notifications,0.134270076162781
llama31_8b,mistral,Receive payment receipts,0.5252303652679382
llama31_8b,mistral,Receive push notifications,0.33114893202098517
llama31_8b,mistral,Record audio,0.1024348146841834
llama31_8b,mistral,Remittances overseas,0.31300042927848964
llama31_8b,mistral,Save favorite locations,0.6849278532613642
llama31_8b,mistral,Save images locally,0.4450237412622639
llama31_8b,mistral,Schedule payments,0.11655796428275816
llama31_8b,mistral,Search for products,0.23920187641443472
llama31_8b,mistral,Search news topics,0.667042799250375
llama31_8b,mistral,Search with suggestions,0.3042891018495621
llama31_8b,mistral,Search within books,0.40799778857682384
llama31_8b,mistral,Secure checkout,0.23733949320694858
llama31_8b,mistral,Send messages,0.782815182366963
llama31_8b,mistral,Send money to anyone,0.7912343211540497
llama31_8b,mistral,Set fitness goals,0.5877632034504431
llama31_8b,mistral,Set wallpapers,0.010291723880013091
llama31_8b,mistral,Share content on social networks,0.5873012792716474
llama31_8b,mistral,Share edited photos,0.43102803160389697
llama31_8b,mistral,Share media,0.559637708443928
llama31_8b,mistral,Share payments,0.6455805618555105
llama31_8b,mistral,Share photos and videos,0.7123499033557065
llama31_8b,mistral,Store bill details securely,0.046859652717826134
llama31_8b,mistral,Stream music,0.6893924825244585
llama31_8b,mistral,Sync across devices,0.570499783368795
llama31_8b,mistral,Sync reading progress,0.2292912989052657
llama31_8b,mistral,Take quizzes,0.5453248476835959
llama31_8b,mistral,Track learning progress,0.6625473176206432
llama31_8b,mistral,Track order delivery status,0.010261862331914834
llama31_8b,mistral,Track routes on map,0.19955947037183336
llama31_8b,mistral,Track taxi location,0.20615999637596552
llama31_8b,mistral,Track weight,0.57037669607192
llama31_8b,mistral,Track workouts,0.47215373375375175
llama31_8b,mistral,Transfer money,0.7391656113085132
llama31_8b,mistral,Turn-by-turn navigation,0.693472906426814
llama31_8b,mistral,Video quality control,0.08758286548428167
llama31_8b,mistral,View account balances,0.06019030485084951
llama31_8b,mistral,View maps offline,0.3338331644141864
llama31_8b,mistral,View product reviews,0.24690310641568441
llama31_8b,mistral,View progress charts,0.5443709879601497
llama31_8b,mistral,View transaction history,0.06978905377539975
llama31_8b,mistral,Watch lectures,0.48579031683442536
llama31_8b,mistral,Watch live TV,0.3692369655334641
llama31_8b,mistral,Watch videos,0.5621930840960132
llama31_8b,mistral,Weather forecast,0.5073469084400966
gemma3_4b,openai,Access breaking news,0.5390403163470614
gemma3_4b,openai,Access courses,0.8005167020422463
gemma3_4b,openai,Access subtitles,0.5050890895837346
gemma3_4b,openai,Activate cards for overseas usage,0.030890674243147734
gemma3_4b,openai,Add items to wishlist,0.4275507144788898
gemma3_4b,openai,Adjust image settings,0.5581450644004742
gemma3_4b,openai,Apply filters and effects,0.3201752320612961
gemma3_4b,openai,Audio playback controls,0.658949391535868
gemma3_4b,openai,Automatic wallpaper rotation,0.3231525695878728
gemma3_4b,openai,Backup and restore data,0.32362556127871467
gemma3_4b,openai,Barcode scanning for items,0.018265251792692908
gemma3_4b,openai,Book taxis,0.589494824426443
gemma3_4b,openai,Bookmark articles,0.5560405105830521
gemma3_4b,openai,Browse by categories,0.2069085100109063
gemma3_4b,openai,Browse by category,0.24627115790916027
gemma3_4b,openai,Calculate fares,0.5981697561132594
gemma3_4b,openai,Calorie tracking,0.715225609974475
gemma3_4b,openai,Change fonts,0.0
gemma3_4b,openai,Check public transport routes,0.5544016351638925
gemma3_4b,openai,Comment on posts,0.6507700129168533
gemma3_4b,openai,Compare prices,0.3402563255145284
gemma3_4b,openai,Create collages,0.44846560205140173
gemma3_4b,openai,Create playlists,0.7889007368675189
gemma3_4b,openai,Currency converter,0.06237900269936314
gemma3_4b,openai,Customize interface settings,0.2758487086925786
gemma3_4b,openai,Customize themes,0.02448663182602566
gemma3_4b,openai,Diet planning,0.6839929469031507
gemma3_4b,openai,Discover new people,0.28157464395386195
gemma3_4b,openai,Download books,0.3774974200090646
gemma3_4b,openai,Download content for offline use,0.5904490678706524
gemma3_4b,openai,Edit audio files,0.22192223812985176
gemma3_4b,openai,File management,0.10179919568365894
gemma3_4b,openai,Financial calculators,0.0012107507949915585
gemma3_4b,openai,Find nearby places,0.5516832247950845
gemma3_4b,openai,Follow training plans,0.3775878813193099
gemma3_4b,openai,Follow users,0.628828173981946
gemma3_4b,openai,Get audio coaching,0.029628034978026765
gemma3_4b,openai,Highlight text,0.02500239223278049
gemma3_4b,openai,Listen to interviews,0.2157790445893819
gemma3_4b,openai,Manage shopping cart,0.2273798937140045
gemma3_4b,openai,Monitor heart rate,0.32290277200502543
gemma3_4b,openai,Offline learning,0.2403351203096805
gemma3_4b,openai,Pay bills,0.10120189607542474
gemma3_4b,openai,Pay credit card bills,0.015553772342271446
gemma3_4b,openai,Personalized news feed,0.8035359405425109
gemma3_4b,openai,Photo editing tools,0.48792742465546934
gemma3_4b,openai,Post content updates,0.7341360779376565
gemma3_4b,openai,Private chat with users,0.4676166020467036
gemma3_4b,openai,Read articles offline,0.4779153649707777
gemma3_4b,openai,Read ebooks,0.4374065863491101
gemma3_4b,openai,Real-time messaging,0.8086573248154096
gemma3_4b,openai,Real-time traffic updates,0.7386243724663202
gemma3_4b,openai,Receive daily promotions,0.01593158172508394
gemma3_4b,openai,Receive money,0.6149240645154262
gemma3_4b,openai,Receive news notifications,0.6211921630820627
gemma3_4b,openai,Receive payment receipts,0.08620607228146528
gemma3_4b,openai,Receive push notifications,0.5200592133181474
gemma3_4b,openai,Record audio,0.14080413547003715
gemma3_4b,openai,Remittances overseas,0.3799905726017893
gemma3_4b,openai,Save favorite locations,0.3487048640863595
gemma3_4b,openai,Save images locally,0.47565863087835025
gemma3_4b,openai,Schedule payments,0.425192286615268
gemma3_4b,openai,Search for products,0.28125114633601833
gemma3_4b,openai,Search news topics,0.7811986990373104
gemma3_4b,openai,Search with suggestions,0.15902150647920413
gemma3_4b,openai,Search within books,0.38609491930686096
gemma3_4b,openai,Secure checkout,0.12794488101631357
gemma3_4b,openai,Send messages,0.7820942344078557
gemma3_4b,openai,Send money to anyone,0.744577254116955
gemma3_4b,openai,Set fitness goals,0.4577738235202037
gemma3_4b,openai,Set wallpapers,0.4830673276501274
gemma3_4b,openai,Share content on social networks,0.6283524767179108
gemma3_4b,openai,Share edited photos,0.276276768321814
gemma3_4b,openai,Share media,0.06547111360958618
gemma3_4b,openai,Share payments,0.588591435527517
gemma3_4b,openai,Share photos and videos,0.7634249591769395
gemma3_4b,openai,Store bill details securely,0.272045791998141
gemma3_4b,openai,Stream music,0.76138963550869
gemma3_4b,openai,Sync across devices,0.314724592226449
gemma3_4b,openai,Sync reading progress,0.28013837120135415
gemma3_4b,openai,Take quizzes,0.2448706467571848
gemma3_4b,openai,Track learning progress,0.4534317969596171
gemma3_4b,openai,Track order delivery status,0.28054410186493184
gemma3_4b,openai,Track routes on map,0.35244345625333956
gemma3_4b,openai,Track taxi location,0.5749529861943767
gemma3_4b,openai,Track weight,0.6435495005600884
gemma3_4b,openai,Track workouts,0.299802271064378
gemma3_4b,openai,Transfer money,0.7572594841050158
gemma3_4b,openai,Turn-by-turn navigation,0.8202330698033077
gemma3_4b,openai,Video quality control,0.37690657825251833
gemma3_4b,openai,View account balances,0.08280311598461482
gemma3_4b,openai,View maps offline,0.40662722610072316
gemma3_4b,openai,View product reviews,0.49608721486113777
gemma3_4b,openai,View progress charts,0.4709301612181186
gemma3_4b,openai,View transaction history,0.0354982985620142
gemma3_4b,openai,Watch lectures,0.5469992701294325
gemma3_4b,openai,Watch live TV,0.651413036794795
gemma3_4b,openai,Watch videos,0.733574827803823
gemma3_4b,openai,Weather forecast,0.46746041926676574
gemma3_4b,gemini,Access breaking news,0.5698256884442688
gemma3_4b,gemini,Access courses,0.794221783787112
gemma3_4b,gemini,Access subtitles,0.29028745343643125
gemma3_4b,gemini,Activate cards for overseas usage,0.009162062475197696
gemma3_4b,gemini,Add items to wishlist,0.46765430510842465
gemma3_4b,gemini,Adjust image settings,0.35762734594772705
gemma3_4b,gemini,Apply filters and effects,0.35210073276157317
gemma3_4b,gemini,Audio playback controls,0.6993103565339834
gemma3_4b,gemini,Automatic wallpaper rotation,0.1866677827981413
gemma3_4b,gemini,Backup and restore data,0.3577552384584491
gemma3_4b,gemini,Barcode scanning for items,0.011040622586785807
gemma3_4b,gemini,Book taxis,0.5924250706489729
gemma3_4b,gemini,Bookmark articles,0.5452971754592039
gemma3_4b,gemini,Browse by categories,0.3649300292206509
gemma3_4b,gemini,Browse by category,0.32197199312838387
gemma3_4b,gemini,Calculate fares,0.5287323643863762
gemma3_4b,gemini,Calorie tracking,0.6480547528922682
gemma3_4b,gemini,Change fonts,7.68906999530713e-06
gemma3_4b,gemini,Check public transport routes,0.5928619187692751
gemma3_4b,gemini,Comment on posts,0.5969981961280051
gemma3_4b,gemini,Compare prices,0.2505535451173289
