category_name,avg_run_correlation,rss_position_correlation,rss_k1,rss_k2,rss_k3,rss_k4,rss_k5,rss_k6,rss_k7,rss_k8,rss_k9,rss_k10,total_apps,total_runs,rss_k11,rss_k12,rss_k13,rss_k14,rss_k15,rss_k16,rss_k17,rss_k18,rss_k19,rss_k20
"""AI-powered utilities""",0.6257833186756355,0.9802016955472952,0.0,0.0,0.0,0.0714285714285714,0.1714285714285714,0.2597402597402597,0.5164835164835165,0.5476190476190476,0.4563492063492064,0.810985797827903,93,10,0.8431495405179618,1.0604686318972032,1.2707936507936508,1.370793650793651,1.3276862026862024,1.5066609977324263,1.5236726874657909,1.7183819764464925,1.8990271377368155,2.4373482726423905
"""AI-powered entertainment""",0.9601712431159036,0.9349404790339992,0.0,0.0,0.0,0.0,0.1805555555555555,0.25,0.3833333333333333,0.4567901234567901,0.4333333333333333,0.4617604617604617,34,10,0.6967592592592592,0.6293650793650792,0.7248677248677248,0.6628224206349207,0.6306878306878306,0.6444862155388471,0.6473922902494331,0.7033730158730158,0.7454212454212453,0.8100340136054421
"""AI-powered productivity""",0.8867104263413358,0.8927011101169867,0.0,0.0,0.3333333333333333,0.6333333333333333,0.7261904761904762,0.9937641723356008,0.898148148148148,1.2026190476190477,1.1388888888888888,1.120879120879121,50,10,1.136904761904762,1.055224867724868,1.1550751879699248,1.2414880952380951,1.2642316017316018,1.3252070393374742,1.2525238095238094,1.3982600732600732,1.477750410509031,1.527936507936508
"""AI-powered finance""",0.63918106142777,0.9674799397982214,0.0,0.0,0.1481481481481481,0.0888888888888888,0.0555555555555555,0.2525252525252525,0.3026862026862027,0.5524943310657596,0.7887152777777778,0.9641690009337068,55,10,1.371979717813051,1.9314484126984128,2.253786375661376,2.358730158730159,2.965380405035577,3.3888359788359788,3.702636968766001,3.952982202982204,4.408718133718133,4.54155328798186
"""AI-powered photo & video""",0.8839222689590082,0.9724397670648656,0.0,0.0,0.0555555555555555,0.4814814814814814,0.6481481481481481,1.1402116402116402,0.9184027777777776,0.7847222222222221,0.98989898989899,1.1356837606837606,60,10,1.0953703703703703,1.312908496732026,1.5807098765432095,1.876686507936508,1.7651695526695528,1.8159887566137567,1.8173229548229548,1.922718253968254,2.261203703703704,2.328367003367003
"""AI-powered shopping""",0.949781398490316,0.9712011334758432,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.2539682539682539,0.2474747474747475,0.4226851851851851,41,10,0.4286324786324786,0.4732638888888889,0.4511695906432749,0.5286111111111111,0.516919191919192,0.6155092592592593,0.6514957264957265,0.6543650793650794,0.8141577060931899,0.9739057239057238
"""AI-powered social networking""",0.9000344491539416,0.9824621132979584,0.0,0.0,0.0555555555555555,0.2037037037037037,0.2777777777777778,0.5222222222222223,0.594017094017094,0.6230158730158729,0.9618055555555556,1.1783625730994152,115,10,1.7146464646464643,1.9953703703703705,2.265555555555556,2.268162393162393,2.455938697318008,2.762962962962963,3.1840277777777777,3.7542087542087534,3.8398692810457513,3.810457516339869
"""AI-powered lifestyle""",0.3909686400353626,0.9844635040111592,0.0,0.0,0.0,0.0,0.1666666666666666,0.2136752136752136,0.4305555555555555,0.5485185185185185,0.5495039682539682,1.0813725490196078,64,10,1.2566666666666666,1.2545454545454546,1.4536231884057969,1.5869565217391304,1.8762820512820515,1.9475340136054424,2.239573070607553,2.254070660522274,2.558874458874459,2.878221288515406
"""AI-powered music""",0.966816426326459,0.8131206758314545,0.0,0.0,0.0,0.0,0.0714285714285714,0.1088435374149659,0.5396825396825397,0.4722222222222222,0.419753086419753,0.3777777777777777,47,10,0.3434343434343434,0.2698412698412698,0.2361111111111111,0.2320987654320987,0.2288888888888889,0.3894179894179894,0.6826777087646654,0.810978835978836,0.7801892551892553,0.8226757369614514
"""AI-powered education""",0.8782072113608835,0.9361483399927322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21428571428571427,0.2312925170068027,50,10,0.3560090702947845,0.3277310924369748,0.3919753086419753,0.6694444444444445,0.8282828282828283,0.9821256038647342,1.0555555555555554,1.0755555555555554,1.2638888888888888,1.6072452636968766
"""AI-powered utilities""",0.6705545914626619,0.9898368210675622,0.0,0.0,0.1666666666666666,0.2321428571428571,1.0791666666666666,1.246527777777778,1.2351190476190474,1.2682291666666663,1.5043859649122806,1.777777777777778,79,10,2.012121212121212,2.1753623188405795,2.105047619047619,2.5683150183150185,3.164200680272109,3.171587301587301,3.222503840245776,3.384331797235023,3.686872586872586,3.796947496947497
"""AI-powered entertainment""",0.4428691187788395,0.9941828756186536,0.0,0.3,0.7333333333333334,0.6866666666666668,1.0333333333333334,1.5466666666666669,2.0894736842105264,2.2818181818181817,2.448,2.544444444444444,99,10,2.828735632183908,3.243010752688172,3.37979797979798,3.586574074074074,3.928508771929825,4.115833333333333,4.149621212121212,4.725378787878788,5.130681818181818,4.965986394557823
"""AI-powered productivity""",0.4914109884686357,0.9913297809041596,0.0,0.2777777777777777,0.2666666666666666,0.519047619047619,0.8541666666666667,1.2986111111111112,1.3511904761904765,1.7976190476190477,2.013756613756614,2.136278195488722,60,10,2.263630952380953,2.4828463203463205,2.7440476190476195,2.735753968253968,2.8475396825396824,3.0430059523809523,3.181512605042017,3.5629931972789115,3.66048906048906,3.910958485958486
"""AI-powered finance""",0.465878509501508,0.9879294426713544,0.0,0.1904761904761904,0.9321428571428572,0.7231292517006802,1.2598214285714286,1.3638888888888887,1.875,2.2432291666666666,2.54265873015873,2.3717261904761906,80,10,2.405612244897959,2.721492063492063,2.9565628815628817,3.07599890530925,3.4925444925444924,3.611221340388007,4.05993080993081,4.221774521774522,4.979743008314436,4.977113325950535
"""AI-powered photo & video""",0.5254785735226251,0.9779041143329404,0.0,0.4285714285714285,0.4345238095238095,0.3258928571428571,0.3571428571428571,0.7261904761904762,1.3917748917748918,1.7363945578231292,1.7023809523809526,1.869642857142857,77,10,2.048160173160173,1.9955357142857144,2.1037142857142856,2.255494505494505,2.555864197530864,2.923611111111112,3.457972582972583,3.775735294117647,3.977380952380953,4.454398148148148
"""AI-powered shopping""",0.3506009543297819,0.9245573167173587,0.0,0.4285714285714285,0.4047619047619047,0.3904761904761904,0.6870748299319727,0.6455026455026455,0.9826839826839826,1.0674603174603174,1.1391941391941391,1.269345238095238,95,10,1.273109243697479,1.4153439153439151,1.3304761904761906,1.7072510822510822,2.2623809523809526,2.6859605911330053,3.5935714285714284,3.978993855606759,4.648737373737374,4.700565175565176
"""AI-powered social networking""",0.601740312782303,0.9546540421509454,0.0,0.2666666666666666,0.2833333333333333,0.6047619047619047,0.8333333333333334,0.8761904761904762,1.0620370370370371,1.1163095238095238,1.85,2.5371031746031747,83,10,3.132142857142857,2.68655462184874,2.8335714285714286,2.7383219954648528,2.8697722567287784,2.686857142857144,2.859157509157509,3.166830870279146,3.809672619047619,3.764935064935065
"""AI-powered lifestyle""",0.0669744620377576,0.982691709745114,0.0,0.3333333333333333,0.7666666666666667,0.9357142857142856,1.1166666666666667,1.46,1.5708333333333335,1.521875,1.957017543859649,2.481884057971014,68,10,3.0335097001763667,3.003146258503401,3.1836309523809523,3.5717857142857143,4.0284523809523805,4.701153273809524,5.3620851370851375,5.5945728291316525,6.214781746031746,6.8366795366795365
"""AI-powered music""",0.4885955398440533,0.9934141820687294,0.0,0.25,0.4583333333333333,0.5277777777777778,0.9479166666666666,1.3938492063492065,1.6456043956043955,1.6709183673469388,1.8349206349206348,1.9055803571428571,84,10,2.2591736694677875,2.8161027568922306,2.963906926406926,3.174904761904762,3.3809047619047625,3.4230599647266318,3.712557603686636,3.9329241071428576,3.9908369408369406,4.074933862433863
"""AI-powered education""",0.29676992576518585,0.993120600089666,0.0,0.16666666666666666,0.611111111111111,0.8125,1.2208333333333332,1.803030303030303,1.9656462585034014,1.8638655462184872,1.9766106442577032,2.209391534391534,86,10,2.4953703703703707,2.7121212121212124,3.090909090909091,3.233333333333334,3.5352564102564097,3.9856321839080464,4.33984126984127,4.432212885154062,4.775925925925926,4.759722222222222
