criterion,model1,model2,cohort_pair,feature,rbo
Accessibility Features,llama31_8b,deepseekr1_8b,open,List items for sale,0.25207341237361436
Accessibility Features,llama31_8b,deepseekr1_8b,open,Photo effects,0.10125324100260097
Accessibility Features,llama31_8b,deepseekr1_8b,open,Play games,0.18026201069135223
Accessibility Features,llama31_8b,deepseekr1_8b,open,Play playlist on shuffle mode,0.5272383836830542
Accessibility Features,llama31_8b,deepseekr1_8b,open,Rate movies,0.3072474565765654
Accessibility Features,llama31_8b,deepseekr1_8b,open,Search for offer on item,0.04581002295760692
Accessibility Features,llama31_8b,deepseekr1_8b,open,Send files,0.14354110209104368
Accessibility Features,llama31_8b,deepseekr1_8b,open,Watch streams,0.3197153989781549
Accessibility Features,llama31_8b,deepseekr1_8b,open,Write notes,0.30238266826423366
Accessibility Features,llama31_8b,openai,cross,Access to movies,0.6634358887258776
Accessibility Features,llama31_8b,openai,cross,Access to podcasts,0.4707368110397486
Accessibility Features,llama31_8b,openai,cross,Broadcast messages to multiple contacts,0.277215408782618
Accessibility Features,llama31_8b,openai,cross,Build photo collage,0.01236599883366491
Accessibility Features,llama31_8b,openai,cross,Collaborate with others,0.40926164401374493
Accessibility Features,llama31_8b,openai,cross,Go Live,0.07378102979275689
Accessibility Features,llama31_8b,openai,cross,Keeping up with friends,0.587844438252469
Accessibility Features,llama31_8b,openai,cross,List items for sale,0.38552674446761076
Accessibility Features,llama31_8b,openai,cross,Photo effects,0.1972551218784595
Accessibility Features,llama31_8b,openai,cross,Play games,0.0923051236623202
Accessibility Features,llama31_8b,openai,cross,Play playlist on shuffle mode,0.5387061661276088
Accessibility Features,llama31_8b,openai,cross,Rate movies,0.3235627351254584
Accessibility Features,llama31_8b,openai,cross,Search for offer on item,0.03710787718932771
Accessibility Features,llama31_8b,openai,cross,Send files,0.28647335743574354
Accessibility Features,llama31_8b,openai,cross,Watch streams,0.20707212550466417
Accessibility Features,llama31_8b,openai,cross,Write notes,0.2844743042119876
Accessibility Features,llama31_8b,gemini,cross,Access to movies,0.3993755784154438
Accessibility Features,llama31_8b,gemini,cross,Access to podcasts,0.35122856928115814
Accessibility Features,llama31_8b,gemini,cross,Broadcast messages to multiple contacts,0.21122144611043467
Accessibility Features,llama31_8b,gemini,cross,Build photo collage,0.009968983430056482
Accessibility Features,llama31_8b,gemini,cross,Collaborate with others,0.3942303489669877
Accessibility Features,llama31_8b,gemini,cross,Go Live,0.05609369643325987
Accessibility Features,llama31_8b,gemini,cross,Keeping up with friends,0.552570016982848
Accessibility Features,llama31_8b,gemini,cross,List items for sale,0.3202669831405938
Accessibility Features,llama31_8b,gemini,cross,Photo effects,0.1454580311404671
Accessibility Features,llama31_8b,gemini,cross,Play games,0.03781319051262479
Accessibility Features,llama31_8b,gemini,cross,Play playlist on shuffle mode,0.4630793269962693
Accessibility Features,llama31_8b,gemini,cross,Rate movies,0.29545591612869204
Accessibility Features,llama31_8b,gemini,cross,Search for offer on item,0.03415009892089125
Accessibility Features,llama31_8b,gemini,cross,Send files,0.23403496114368058
Accessibility Features,llama31_8b,gemini,cross,Watch streams,0.24112712007784928
Accessibility Features,llama31_8b,gemini,cross,Write notes,0.29927325507640595
Accessibility Features,llama31_8b,anthropic,cross,Access to movies,0.7087965566563548
Accessibility Features,llama31_8b,anthropic,cross,Access to podcasts,0.4304078112364341
Accessibility Features,llama31_8b,anthropic,cross,Broadcast messages to multiple contacts,0.28304082996988067
Accessibility Features,llama31_8b,anthropic,cross,Build photo collage,0.019771101083645597
Accessibility Features,llama31_8b,anthropic,cross,Collaborate with others,0.39891282606318873
Accessibility Features,llama31_8b,anthropic,cross,Go Live,0.07965862310906405
Accessibility Features,llama31_8b,anthropic,cross,Keeping up with friends,0.5170236498050932
Accessibility Features,llama31_8b,anthropic,cross,List items for sale,0.4404525084645552
Accessibility Features,llama31_8b,anthropic,cross,Photo effects,0.21759936707116195
Accessibility Features,llama31_8b,anthropic,cross,Play games,0.08049257186033279
Accessibility Features,llama31_8b,anthropic,cross,Play playlist on shuffle mode,0.5432859620826463
Accessibility Features,llama31_8b,anthropic,cross,Rate movies,0.3417646154913347
Accessibility Features,llama31_8b,anthropic,cross,Search for offer on item,0.06074970944434053
Accessibility Features,llama31_8b,anthropic,cross,Send files,0.19646862584889288
Accessibility Features,llama31_8b,anthropic,cross,Watch streams,0.3566136399003554
Accessibility Features,llama31_8b,anthropic,cross,Write notes,0.299884501044463
Accessibility Features,llama31_8b,mistral,cross,Access to movies,0.7772050146467023
Accessibility Features,llama31_8b,mistral,cross,Access to podcasts,0.4542340836024616
Accessibility Features,llama31_8b,mistral,cross,Broadcast messages to multiple contacts,0.36295838062276303
Accessibility Features,llama31_8b,mistral,cross,Build photo collage,0.021397533866359265
Accessibility Features,llama31_8b,mistral,cross,Collaborate with others,0.47660773538397805
Accessibility Features,llama31_8b,mistral,cross,Go Live,0.18919442044915682
Accessibility Features,llama31_8b,mistral,cross,Keeping up with friends,0.6116652637126392
Accessibility Features,llama31_8b,mistral,cross,List items for sale,0.34466980139021514
Accessibility Features,llama31_8b,mistral,cross,Photo effects,0.12651663421250314
Accessibility Features,llama31_8b,mistral,cross,Play games,0.025096752481087177
Accessibility Features,llama31_8b,mistral,cross,Play playlist on shuffle mode,0.558926272570999
Accessibility Features,llama31_8b,mistral,cross,Rate movies,0.2608770379420188
Accessibility Features,llama31_8b,mistral,cross,Search for offer on item,0.0710886917406451
Accessibility Features,llama31_8b,mistral,cross,Send files,0.35600563980643324
Accessibility Features,llama31_8b,mistral,cross,Watch streams,0.44411100843577794
Accessibility Features,llama31_8b,mistral,cross,Write notes,0.3588532180138975
Accessibility Features,gemma3_4b,qwen3_8b,open,Access to movies,0.7467579365059853
Accessibility Features,gemma3_4b,qwen3_8b,open,Access to podcasts,0.5732778848798281
Accessibility Features,gemma3_4b,qwen3_8b,open,Broadcast messages to multiple contacts,0.47349857972923226
Accessibility Features,gemma3_4b,qwen3_8b,open,Build photo collage,0.10388670782631654
Accessibility Features,gemma3_4b,qwen3_8b,open,Collaborate with others,0.3476524894809246
Accessibility Features,gemma3_4b,qwen3_8b,open,Go Live,0.3910011715877533
Accessibility Features,gemma3_4b,qwen3_8b,open,Keeping up with friends,0.5619561141785541
Accessibility Features,gemma3_4b,qwen3_8b,open,List items for sale,0.5616287760100832
Accessibility Features,gemma3_4b,qwen3_8b,open,Photo effects,0.32575579050968684
Accessibility Features,gemma3_4b,qwen3_8b,open,Play games,0.11376271289638265
Accessibility Features,gemma3_4b,qwen3_8b,open,Play playlist on shuffle mode,0.7924567167151192
Accessibility Features,gemma3_4b,qwen3_8b,open,Rate movies,0.2695059490602983
Accessibility Features,gemma3_4b,qwen3_8b,open,Search for offer on item,0.07814962669567439
Accessibility Features,gemma3_4b,qwen3_8b,open,Send files,0.6741662201371371
Accessibility Features,gemma3_4b,qwen3_8b,open,Watch streams,0.5135120596255053
Accessibility Features,gemma3_4b,qwen3_8b,open,Write notes,0.5624566184769573
Accessibility Features,gemma3_4b,gptoss20b,open,Access to movies,0.8660930484228573
Accessibility Features,gemma3_4b,gptoss20b,open,Access to podcasts,0.5299539618668713
Accessibility Features,gemma3_4b,gptoss20b,open,Broadcast messages to multiple contacts,0.477047142095524
Accessibility Features,gemma3_4b,gptoss20b,open,Build photo collage,0.12226731902666663
Accessibility Features,gemma3_4b,gptoss20b,open,Collaborate with others,0.42881281009725575
Accessibility Features,gemma3_4b,gptoss20b,open,Go Live,0.26892596635378063
Accessibility Features,gemma3_4b,gptoss20b,open,Keeping up with friends,0.6243232643646475
Accessibility Features,gemma3_4b,gptoss20b,open,List items for sale,0.45170334651355576
Accessibility Features,gemma3_4b,gptoss20b,open,Photo effects,0.288255275083454
Accessibility Features,gemma3_4b,gptoss20b,open,Play games,0.07916614116138601
Accessibility Features,gemma3_4b,gptoss20b,open,Play playlist on shuffle mode,0.8145493967950633
Accessibility Features,gemma3_4b,gptoss20b,open,Rate movies,0.2738707006174395
Accessibility Features,gemma3_4b,gptoss20b,open,Search for offer on item,0.13193931277174717
Accessibility Features,gemma3_4b,gptoss20b,open,Send files,0.1805271688512596
Accessibility Features,gemma3_4b,gptoss20b,open,Watch streams,0.39304029035077664
Accessibility Features,gemma3_4b,gptoss20b,open,Write notes,0.6058272424327132
Accessibility Features,gemma3_4b,mistral_open,open,Access to movies,0.7328833294244944
Accessibility Features,gemma3_4b,mistral_open,open,Access to podcasts,0.4605701383651021
Accessibility Features,gemma3_4b,mistral_open,open,Broadcast messages to multiple contacts,0.4627520910185069
Accessibility Features,gemma3_4b,mistral_open,open,Build photo collage,0.16484190401785878
Accessibility Features,gemma3_4b,mistral_open,open,Collaborate with others,0.47177591108713973
Accessibility Features,gemma3_4b,mistral_open,open,Go Live,0.08960023732758453
Accessibility Features,gemma3_4b,mistral_open,open,Keeping up with friends,0.39945090432056846
Accessibility Features,gemma3_4b,mistral_open,open,List items for sale,0.5488777327973428
Accessibility Features,gemma3_4b,mistral_open,open,Photo effects,0.16351869236369992
Accessibility Features,gemma3_4b,mistral_open,open,Play games,0.054063395001868735
Accessibility Features,gemma3_4b,mistral_open,open,Play playlist on shuffle mode,0.8076354062784763
Accessibility Features,gemma3_4b,mistral_open,open,Rate movies,0.1541474449169268
Accessibility Features,gemma3_4b,mistral_open,open,Search for offer on item,0.24455237527644122
Accessibility Features,gemma3_4b,mistral_open,open,Send files,0.5512250430107362
Accessibility Features,gemma3_4b,mistral_open,open,Watch streams,0.5793700140911381
Accessibility Features,gemma3_4b,mistral_open,open,Write notes,0.5840246898250697
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Access to movies,0.6802413453816175
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Access to podcasts,0.5060492251015668
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Broadcast messages to multiple contacts,0.40693397869888104
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Build photo collage,0.20446046793908126
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Collaborate with others,0.3724310112955191
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Go Live,0.26243958947945456
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Keeping up with friends,0.4737742162488915
Accessibility Features,gemma3_4b,deepseekr1_8b,open,List items for sale,0.420518816169583
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Photo effects,0.21065325352845504
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Play games,0.14478059590847417
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Play playlist on shuffle mode,0.7811137579487595
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Rate movies,0.21634536428918333
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Search for offer on item,0.14480731243771935
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Send files,0.2277113179127423
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Watch streams,0.5503096089059883
Accessibility Features,gemma3_4b,deepseekr1_8b,open,Write notes,0.5647508809066302
Accessibility Features,gemma3_4b,openai,cross,Access to movies,0.6846003447226644
Accessibility Features,gemma3_4b,openai,cross,Access to podcasts,0.5780228382596893
Accessibility Features,gemma3_4b,openai,cross,Broadcast messages to multiple contacts,0.460907194610506
Accessibility Features,gemma3_4b,openai,cross,Build photo collage,0.25923914315813434
Accessibility Features,gemma3_4b,openai,cross,Collaborate with others,0.4385637833688364
Accessibility Features,gemma3_4b,openai,cross,Go Live,0.20781813185279568
Accessibility Features,gemma3_4b,openai,cross,Keeping up with friends,0.5287133198471745
Accessibility Features,gemma3_4b,openai,cross,List items for sale,0.6310009995495488
Accessibility Features,gemma3_4b,openai,cross,Photo effects,0.25241610953236976
Accessibility Features,gemma3_4b,openai,cross,Play games,0.06974189909485067
Accessibility Features,gemma3_4b,openai,cross,Play playlist on shuffle mode,0.8608477766314943
Accessibility Features,gemma3_4b,openai,cross,Rate movies,0.24979198827875967
Accessibility Features,gemma3_4b,openai,cross,Search for offer on item,0.2213476287080394
Accessibility Features,gemma3_4b,openai,cross,Send files,0.6906766847650124
Accessibility Features,gemma3_4b,openai,cross,Watch streams,0.5382844544557545
Accessibility Features,gemma3_4b,openai,cross,Write notes,0.5665343886229687
Accessibility Features,gemma3_4b,gemini,cross,Access to movies,0.4278804912722307
Accessibility Features,gemma3_4b,gemini,cross,Access to podcasts,0.37391740640656906
Accessibility Features,gemma3_4b,gemini,cross,Broadcast messages to multiple contacts,0.3388039349307922
Accessibility Features,gemma3_4b,gemini,cross,Build photo collage,0.09520522952998077
Accessibility Features,gemma3_4b,gemini,cross,Collaborate with others,0.4450795091039088
Accessibility Features,gemma3_4b,gemini,cross,Go Live,0.1597111221202099
Accessibility Features,gemma3_4b,gemini,cross,Keeping up with friends,0.40672456703158566
Accessibility Features,gemma3_4b,gemini,cross,List items for sale,0.5257295417561261
Accessibility Features,gemma3_4b,gemini,cross,Photo effects,0.18087277201853413
Accessibility Features,gemma3_4b,gemini,cross,Play games,0.03588442531097034
Accessibility Features,gemma3_4b,gemini,cross,Play playlist on shuffle mode,0.7086446766887274
Accessibility Features,gemma3_4b,gemini,cross,Rate movies,0.2577085526723552
Accessibility Features,gemma3_4b,gemini,cross,Search for offer on item,0.09283235643349999
Accessibility Features,gemma3_4b,gemini,cross,Send files,0.6000782569300722
Accessibility Features,gemma3_4b,gemini,cross,Watch streams,0.4817806008539969
Accessibility Features,gemma3_4b,gemini,cross,Write notes,0.48178326921769726
Accessibility Features,gemma3_4b,anthropic,cross,Access to movies,0.7782915676584712
Accessibility Features,gemma3_4b,anthropic,cross,Access to podcasts,0.5123864786327027
Accessibility Features,gemma3_4b,anthropic,cross,Broadcast messages to multiple contacts,0.5240225211566999
Accessibility Features,gemma3_4b,anthropic,cross,Build photo collage,0.3334955394497831
Accessibility Features,gemma3_4b,anthropic,cross,Collaborate with others,0.40174118270855247
Accessibility Features,gemma3_4b,anthropic,cross,Go Live,0.26011687407253
Accessibility Features,gemma3_4b,anthropic,cross,Keeping up with friends,0.731030958415003
Accessibility Features,gemma3_4b,anthropic,cross,List items for sale,0.593447491194946
Accessibility Features,gemma3_4b,anthropic,cross,Photo effects,0.2425837453636404
Accessibility Features,gemma3_4b,anthropic,cross,Play games,0.07033593526444604
Accessibility Features,gemma3_4b,anthropic,cross,Play playlist on shuffle mode,0.8148457969499407
Accessibility Features,gemma3_4b,anthropic,cross,Rate movies,0.38442814406018777
Accessibility Features,gemma3_4b,anthropic,cross,Search for offer on item,0.12358456291374958
Accessibility Features,gemma3_4b,anthropic,cross,Send files,0.2537969293258734
Accessibility Features,gemma3_4b,anthropic,cross,Watch streams,0.40155728497329096
Accessibility Features,gemma3_4b,anthropic,cross,Write notes,0.5881060001120169
Accessibility Features,gemma3_4b,mistral,cross,Access to movies,0.8222239445845055
Accessibility Features,gemma3_4b,mistral,cross,Access to podcasts,0.5889335059560541
Accessibility Features,gemma3_4b,mistral,cross,Broadcast messages to multiple contacts,0.49619848637667463
Accessibility Features,gemma3_4b,mistral,cross,Build photo collage,0.26374316449469043
Accessibility Features,gemma3_4b,mistral,cross,Collaborate with others,0.6933686046220162
Accessibility Features,gemma3_4b,mistral,cross,Go Live,0.2698198820419792
Accessibility Features,gemma3_4b,mistral,cross,Keeping up with friends,0.4696465049409886
Accessibility Features,gemma3_4b,mistral,cross,List items for sale,0.6953081527258891
Accessibility Features,gemma3_4b,mistral,cross,Photo effects,0.3770922488343997
Accessibility Features,gemma3_4b,mistral,cross,Play games,0.030394280698145777
Accessibility Features,gemma3_4b,mistral,cross,Play playlist on shuffle mode,0.8647738168146756
Accessibility Features,gemma3_4b,mistral,cross,Rate movies,0.13941045027321003
Accessibility Features,gemma3_4b,mistral,cross,Search for offer on item,0.16248114844327258
Accessibility Features,gemma3_4b,mistral,cross,Send files,0.7987915337330151
Accessibility Features,gemma3_4b,mistral,cross,Watch streams,0.36073984867548803
Accessibility Features,gemma3_4b,mistral,cross,Write notes,0.6351567647501224
Accessibility Features,qwen3_8b,gptoss20b,open,Access to movies,0.7477278666788439
Accessibility Features,qwen3_8b,gptoss20b,open,Access to podcasts,0.6904040709336737
Accessibility Features,qwen3_8b,gptoss20b,open,Broadcast messages to multiple contacts,0.6020354826491896
Accessibility Features,qwen3_8b,gptoss20b,open,Build photo collage,0.28722059513311426
Accessibility Features,qwen3_8b,gptoss20b,open,Collaborate with others,0.5387697321962037
Accessibility Features,qwen3_8b,gptoss20b,open,Go Live,0.29104903410961763
Accessibility Features,qwen3_8b,gptoss20b,open,Keeping up with friends,0.5611332511756288
Accessibility Features,qwen3_8b,gptoss20b,open,List items for sale,0.39856160969763704
Accessibility Features,qwen3_8b,gptoss20b,open,Photo effects,0.34811776421282603
Accessibility Features,qwen3_8b,gptoss20b,open,Play games,0.27154341978837665
Accessibility Features,qwen3_8b,gptoss20b,open,Play playlist on shuffle mode,0.7362276799666799
Accessibility Features,qwen3_8b,gptoss20b,open,Rate movies,0.5802333925048242
Accessibility Features,qwen3_8b,gptoss20b,open,Search for offer on item,0.18184341951747926
Accessibility Features,qwen3_8b,gptoss20b,open,Send files,0.22474088095942282
Accessibility Features,qwen3_8b,gptoss20b,open,Watch streams,0.4090344503114592
Accessibility Features,qwen3_8b,gptoss20b,open,Write notes,0.645246549268625
Accessibility Features,qwen3_8b,mistral_open,open,Access to movies,0.6909353017999119
Accessibility Features,qwen3_8b,mistral_open,open,Access to podcasts,0.5686935722186285
Accessibility Features,qwen3_8b,mistral_open,open,Broadcast messages to multiple contacts,0.5925937121584639
Accessibility Features,qwen3_8b,mistral_open,open,Build photo collage,0.13095838850926278
Accessibility Features,qwen3_8b,mistral_open,open,Collaborate with others,0.515609558312528
Accessibility Features,qwen3_8b,mistral_open,open,Go Live,0.12972699453608968
Accessibility Features,qwen3_8b,mistral_open,open,Keeping up with friends,0.47227866448970507
Accessibility Features,qwen3_8b,mistral_open,open,List items for sale,0.4338594945793643
Accessibility Features,qwen3_8b,mistral_open,open,Photo effects,0.2492612932921606
Accessibility Features,qwen3_8b,mistral_open,open,Play games,0.12233888122695946
Accessibility Features,qwen3_8b,mistral_open,open,Play playlist on shuffle mode,0.7755418547359554
Accessibility Features,qwen3_8b,mistral_open,open,Rate movies,0.5316233946114487
Accessibility Features,qwen3_8b,mistral_open,open,Search for offer on item,0.1558173076745238
Accessibility Features,qwen3_8b,mistral_open,open,Send files,0.5418562589856031
Accessibility Features,qwen3_8b,mistral_open,open,Watch streams,0.5469807105218255
Accessibility Features,qwen3_8b,mistral_open,open,Write notes,0.45884969979004436
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Access to movies,0.6405301560079942
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Access to podcasts,0.6914941827891417
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Broadcast messages to multiple contacts,0.6088713523804832
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Build photo collage,0.30222079850517153
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Collaborate with others,0.5518363837047103
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Go Live,0.2419760824913617
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Keeping up with friends,0.5406112173974921
Accessibility Features,qwen3_8b,deepseekr1_8b,open,List items for sale,0.3787000877825952
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Photo effects,0.38399586545846554
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Play games,0.2754462176469958
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Play playlist on shuffle mode,0.7288926944807373
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Rate movies,0.502133228214848
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Search for offer on item,0.24807446849234463
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Send files,0.3152639909878649
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Watch streams,0.5811461686206809
Accessibility Features,qwen3_8b,deepseekr1_8b,open,Write notes,0.5806754128971248
Accessibility Features,qwen3_8b,openai,cross,Access to movies,0.6496409479529396
Accessibility Features,qwen3_8b,openai,cross,Access to podcasts,0.7042725957265243
Accessibility Features,qwen3_8b,openai,cross,Broadcast messages to multiple contacts,0.6017047126004811
Accessibility Features,qwen3_8b,openai,cross,Build photo collage,0.38231499305002287
Accessibility Features,qwen3_8b,openai,cross,Collaborate with others,0.6267118568698047
Accessibility Features,qwen3_8b,openai,cross,Go Live,0.2814204290931639
Accessibility Features,qwen3_8b,openai,cross,Keeping up with friends,0.5689932007673447
Accessibility Features,qwen3_8b,openai,cross,List items for sale,0.48503359769002374
Accessibility Features,qwen3_8b,openai,cross,Photo effects,0.33498337188154187
Accessibility Features,qwen3_8b,openai,cross,Play games,0.139795785635711
Accessibility Features,qwen3_8b,openai,cross,Play playlist on shuffle mode,0.7550018779787636
Accessibility Features,qwen3_8b,openai,cross,Rate movies,0.49028848042044937
Accessibility Features,qwen3_8b,openai,cross,Search for offer on item,0.18697954754588025
Accessibility Features,qwen3_8b,openai,cross,Send files,0.6493945129508005
Accessibility Features,qwen3_8b,openai,cross,Watch streams,0.5298228069406993
Accessibility Features,qwen3_8b,openai,cross,Write notes,0.5766924989271512
Accessibility Features,qwen3_8b,gemini,cross,Access to movies,0.4263886523169605
Accessibility Features,qwen3_8b,gemini,cross,Access to podcasts,0.5152563000867051
Accessibility Features,qwen3_8b,gemini,cross,Broadcast messages to multiple contacts,0.5005030901451609
Accessibility Features,qwen3_8b,gemini,cross,Build photo collage,0.3604738135639414
Accessibility Features,qwen3_8b,gemini,cross,Collaborate with others,0.5621017558612182
Accessibility Features,qwen3_8b,gemini,cross,Go Live,0.2510147860677988
Accessibility Features,qwen3_8b,gemini,cross,Keeping up with friends,0.5702580373757826
Accessibility Features,qwen3_8b,gemini,cross,List items for sale,0.3877108249595581
Accessibility Features,qwen3_8b,gemini,cross,Photo effects,0.31591484374713646
Accessibility Features,qwen3_8b,gemini,cross,Play games,0.1227521537078393
