model,cohort,criterion,feature,rbo
llama31_8b,open,Cross-Platform Synchronization,Go Live,0.38779286975971017
llama31_8b,open,Cross-Platform Synchronization,Play playlist on shuffle mode,0.6437298514271093
llama31_8b,open,Cross-Platform Synchronization,Access to podcasts,0.5413394476456106
llama31_8b,open,Cross-Platform Synchronization,Build photo collage,0.08504160500799758
llama31_8b,open,Cross-Platform Synchronization,Photo effects,0.3534919743062204
llama31_8b,open,Cross-Platform Synchronization,Access to movies,0.8049457232066289
llama31_8b,open,Cross-Platform Synchronization,Rate movies,0.4463292094333132
llama31_8b,open,Cross-Platform Synchronization,Keeping up with friends,0.6206707559839467
llama31_8b,open,Cross-Platform Synchronization,Play games,0.39404656377233993
llama31_8b,open,Cross-Platform Synchronization,Collaborate with others,0.5506916149616518
llama31_8b,open,Cross-Platform Synchronization,Write notes,0.7592547981037225
llama31_8b,open,Cross-Platform Synchronization,Search for offer on item,0.16747627244225766
llama31_8b,open,Cross-Platform Synchronization,List items for sale,0.3122231856465783
llama31_8b,open,Customer Support,Broadcast messages to multiple contacts,0.45026689378534696
llama31_8b,open,Customer Support,Send files,0.4157072668234345
llama31_8b,open,Customer Support,Watch streams,0.6115697287098968
llama31_8b,open,Customer Support,Go Live,0.445592760945477
llama31_8b,open,Customer Support,Play playlist on shuffle mode,0.7038979687737694
llama31_8b,open,Customer Support,Access to podcasts,0.6045701386294703
llama31_8b,open,Customer Support,Build photo collage,0.05549576066889598
llama31_8b,open,Customer Support,Photo effects,0.5124419635835601
llama31_8b,open,Customer Support,Access to movies,0.7623143088906973
llama31_8b,open,Customer Support,Rate movies,0.39358058551585734
llama31_8b,open,Customer Support,Keeping up with friends,0.6689598908785672
llama31_8b,open,Customer Support,Play games,0.4839573409821654
llama31_8b,open,Customer Support,Collaborate with others,0.6382917953272201
llama31_8b,open,Customer Support,Write notes,0.7685029393649131
llama31_8b,open,Customer Support,Search for offer on item,0.19178512427256708
llama31_8b,open,Customer Support,List items for sale,0.3128871556936934
llama31_8b,open,Customization Options,Broadcast messages to multiple contacts,0.3918076362509278
llama31_8b,open,Customization Options,Send files,0.36603622195076446
llama31_8b,open,Customization Options,Watch streams,0.5839174361741076
llama31_8b,open,Customization Options,Go Live,0.40596145597608563
llama31_8b,open,Customization Options,Play playlist on shuffle mode,0.5766079913705071
llama31_8b,open,Customization Options,Access to podcasts,0.5651413870253524
llama31_8b,open,Customization Options,Build photo collage,0.059682399124496605
llama31_8b,open,Customization Options,Photo effects,0.49873436281348854
llama31_8b,open,Customization Options,Access to movies,0.7159996727741281
llama31_8b,open,Customization Options,Rate movies,0.4495508234593769
llama31_8b,open,Customization Options,Keeping up with friends,0.5861684195498742
llama31_8b,open,Customization Options,Play games,0.43042624723724443
llama31_8b,open,Customization Options,Collaborate with others,0.6190300786925619
llama31_8b,open,Customization Options,Write notes,0.7658424732050733
llama31_8b,open,Customization Options,Search for offer on item,0.2600802247994507
llama31_8b,open,Customization Options,List items for sale,0.5598961115903168
llama31_8b,open,Feature Breadth and Richness,Broadcast messages to multiple contacts,0.2878718295360782
llama31_8b,open,Feature Breadth and Richness,Send files,0.3078506339286075
llama31_8b,open,Feature Breadth and Richness,Watch streams,0.6168432671254018
llama31_8b,open,Feature Breadth and Richness,Go Live,0.37730943333803607
llama31_8b,open,Feature Breadth and Richness,Play playlist on shuffle mode,0.7623645163963321
llama31_8b,open,Feature Breadth and Richness,Access to podcasts,0.6244868532443664
llama31_8b,open,Feature Breadth and Richness,Build photo collage,0.07987867515964556
llama31_8b,open,Feature Breadth and Richness,Photo effects,0.4643922258519028
llama31_8b,open,Feature Breadth and Richness,Access to movies,0.8183285024381004
llama31_8b,open,Feature Breadth and Richness,Rate movies,0.5131973304839914
llama31_8b,open,Feature Breadth and Richness,Keeping up with friends,0.6705418732096535
llama31_8b,open,Feature Breadth and Richness,Play games,0.48409056160836555
llama31_8b,open,Feature Breadth and Richness,Collaborate with others,0.6059000991981244
llama31_8b,open,Feature Breadth and Richness,Write notes,0.7607426460900215
llama31_8b,open,Feature Breadth and Richness,Search for offer on item,0.26217755689262123
llama31_8b,open,Feature Breadth and Richness,List items for sale,0.5834217016679284
llama31_8b,open,Integration with Other Services,Broadcast messages to multiple contacts,0.3623359160177459
llama31_8b,open,Integration with Other Services,Send files,0.43908555495440416
llama31_8b,open,Integration with Other Services,Watch streams,0.5476528511511084
llama31_8b,open,Integration with Other Services,Go Live,0.3557022121428776
llama31_8b,open,Integration with Other Services,Play playlist on shuffle mode,0.6182838565739389
llama31_8b,open,Integration with Other Services,Access to podcasts,0.6628671138066374
llama31_8b,open,Integration with Other Services,Build photo collage,0.1304651909838762
llama31_8b,open,Integration with Other Services,Photo effects,0.4276502400766763
llama31_8b,open,Integration with Other Services,Access to movies,0.7953770197460637
llama31_8b,open,Integration with Other Services,Rate movies,0.5006188969843576
llama31_8b,open,Integration with Other Services,Keeping up with friends,0.7095429922243828
llama31_8b,open,Integration with Other Services,Play games,0.5419361709768217
llama31_8b,open,Integration with Other Services,Collaborate with others,0.619537580187041
llama31_8b,open,Integration with Other Services,Write notes,0.763265354114144
llama31_8b,open,Integration with Other Services,Search for offer on item,0.20744569205310964
llama31_8b,open,Integration with Other Services,List items for sale,0.6306292624730061
llama31_8b,open,Performance and Stability,Broadcast messages to multiple contacts,0.3438027472598089
llama31_8b,open,Performance and Stability,Send files,0.3167937911977411
llama31_8b,open,Performance and Stability,Watch streams,0.5597752288773765
llama31_8b,open,Performance and Stability,Go Live,0.30597713051245135
llama31_8b,open,Performance and Stability,Play playlist on shuffle mode,0.5418908613401928
llama31_8b,open,Performance and Stability,Access to podcasts,0.49746232874621726
llama31_8b,open,Performance and Stability,Build photo collage,0.20157938485227242
llama31_8b,open,Performance and Stability,Photo effects,0.40086833868945043
llama31_8b,open,Performance and Stability,Access to movies,0.7302847424820388
llama31_8b,open,Performance and Stability,Rate movies,0.3992275625244549
llama31_8b,open,Performance and Stability,Keeping up with friends,0.6837105829520076
llama31_8b,open,Performance and Stability,Play games,0.5477615526943778
llama31_8b,open,Performance and Stability,Collaborate with others,0.6161065987837699
llama31_8b,open,Performance and Stability,Write notes,0.7688184117067904
llama31_8b,open,Performance and Stability,Search for offer on item,0.17105852388064688
llama31_8b,open,Performance and Stability,List items for sale,0.6048471151785357
llama31_8b,open,Platform and Device Compatibility,Broadcast messages to multiple contacts,0.575659174078332
llama31_8b,open,Platform and Device Compatibility,Send files,0.3798165377441177
llama31_8b,open,Platform and Device Compatibility,Watch streams,0.6009378603709666
llama31_8b,open,Platform and Device Compatibility,Go Live,0.4713661394979288
llama31_8b,open,Platform and Device Compatibility,Play playlist on shuffle mode,0.693626106744807
llama31_8b,open,Platform and Device Compatibility,Access to podcasts,0.6240604610267301
llama31_8b,open,Platform and Device Compatibility,Build photo collage,0.20303545821847613
llama31_8b,open,Platform and Device Compatibility,Photo effects,0.5158790785013907
llama31_8b,open,Platform and Device Compatibility,Access to movies,0.8056582651837444
llama31_8b,open,Platform and Device Compatibility,Rate movies,0.49009648730619965
llama31_8b,open,Platform and Device Compatibility,Keeping up with friends,0.6045166086385891
llama31_8b,open,Platform and Device Compatibility,Play games,0.4440591293205574
llama31_8b,open,Platform and Device Compatibility,Collaborate with others,0.6195284521072169
llama31_8b,open,Platform and Device Compatibility,Write notes,0.7676717552642485
llama31_8b,open,Platform and Device Compatibility,Search for offer on item,0.12369099642247591
llama31_8b,open,Platform and Device Compatibility,List items for sale,0.5553411244334872
llama31_8b,open,Popularity and Market Reach,Broadcast messages to multiple contacts,0.4818166238827306
llama31_8b,open,Popularity and Market Reach,Send files,0.3726664579020291
llama31_8b,open,Popularity and Market Reach,Watch streams,0.6437353306108524
llama31_8b,open,Popularity and Market Reach,Go Live,0.41585576174484934
llama31_8b,open,Popularity and Market Reach,Play playlist on shuffle mode,0.7117991142427151
llama31_8b,open,Popularity and Market Reach,Access to podcasts,0.6383114707751747
llama31_8b,open,Popularity and Market Reach,Build photo collage,0.21917618244161763
llama31_8b,open,Popularity and Market Reach,Photo effects,0.501440939765242
llama31_8b,open,Popularity and Market Reach,Access to movies,0.835853658213439
llama31_8b,open,Popularity and Market Reach,Rate movies,0.45080144002778744
llama31_8b,open,Popularity and Market Reach,Keeping up with friends,0.6722230026696104
llama31_8b,open,Popularity and Market Reach,Play games,0.4873305046040704
llama31_8b,open,Popularity and Market Reach,Collaborate with others,0.6289035530655149
llama31_8b,open,Popularity and Market Reach,Write notes,0.7769077748848408
llama31_8b,open,Popularity and Market Reach,Search for offer on item,0.2247322190553347
llama31_8b,open,Popularity and Market Reach,List items for sale,0.4117457829927922
llama31_8b,open,Regional and Geographical Availability,Broadcast messages to multiple contacts,0.4346264004636538
llama31_8b,open,Regional and Geographical Availability,Send files,0.3366392090161958
llama31_8b,open,Regional and Geographical Availability,Watch streams,0.6089343828424278
llama31_8b,open,Regional and Geographical Availability,Go Live,0.3620940349726064
llama31_8b,open,Regional and Geographical Availability,Play playlist on shuffle mode,0.7492293044552331
llama31_8b,open,Regional and Geographical Availability,Access to podcasts,0.582638528543677
llama31_8b,open,Regional and Geographical Availability,Build photo collage,0.11636044955922373
llama31_8b,open,Regional and Geographical Availability,Photo effects,0.3392404295698021
llama31_8b,open,Regional and Geographical Availability,Access to movies,0.8578133235522369
llama31_8b,open,Regional and Geographical Availability,Rate movies,0.5231657160102837
llama31_8b,open,Regional and Geographical Availability,Keeping up with friends,0.6421018103960237
llama31_8b,open,Regional and Geographical Availability,Play games,0.4720902582390197
llama31_8b,open,Regional and Geographical Availability,Collaborate with others,0.5843112025075446
llama31_8b,open,Regional and Geographical Availability,Write notes,0.7829856620609243
llama31_8b,open,Regional and Geographical Availability,Search for offer on item,0.12811784799405465
llama31_8b,open,Regional and Geographical Availability,List items for sale,0.5193759478877076
llama31_8b,open,Regular Updates and Maintenance,Broadcast messages to multiple contacts,0.5158287314146986
llama31_8b,open,Regular Updates and Maintenance,Send files,0.32569808293694
llama31_8b,open,Regular Updates and Maintenance,Watch streams,0.5289096782731572
llama31_8b,open,Regular Updates and Maintenance,Go Live,0.36575480509552916
llama31_8b,open,Regular Updates and Maintenance,Play playlist on shuffle mode,0.6597641413576885
llama31_8b,open,Regular Updates and Maintenance,Access to podcasts,0.2251811695940039
llama31_8b,open,Regular Updates and Maintenance,Build photo collage,0.06681352593904993
llama31_8b,open,Regular Updates and Maintenance,Photo effects,0.4207266732565995
llama31_8b,open,Regular Updates and Maintenance,Access to movies,0.7184267955151838
llama31_8b,open,Regular Updates and Maintenance,Rate movies,0.24050887566953405
llama31_8b,open,Regular Updates and Maintenance,Keeping up with friends,0.698673128338748
llama31_8b,open,Regular Updates and Maintenance,Play games,0.4714921439649856
llama31_8b,open,Regular Updates and Maintenance,Collaborate with others,0.5863077566142016
llama31_8b,open,Regular Updates and Maintenance,Write notes,0.7716613595180141
llama31_8b,open,Regular Updates and Maintenance,Search for offer on item,0.11148611906204027
llama31_8b,open,Regular Updates and Maintenance,List items for sale,0.5298617501149607
llama31_8b,open,Security and Privacy,Broadcast messages to multiple contacts,0.3557850897274897
llama31_8b,open,Security and Privacy,Send files,0.32749435428651336
llama31_8b,open,Security and Privacy,Watch streams,0.6317781795554985
llama31_8b,open,Security and Privacy,Go Live,0.4075113594196706
llama31_8b,open,Security and Privacy,Play playlist on shuffle mode,0.5800483045373909
llama31_8b,open,Security and Privacy,Access to podcasts,0.5561045494251158
llama31_8b,open,Security and Privacy,Build photo collage,0.1261502125382259
llama31_8b,open,Security and Privacy,Photo effects,0.3160356736351553
llama31_8b,open,Security and Privacy,Access to movies,0.725135887487191
llama31_8b,open,Security and Privacy,Rate movies,0.4744789135195905
llama31_8b,open,Security and Privacy,Keeping up with friends,0.560007980986081
llama31_8b,open,Security and Privacy,Play games,0.4892644220908538
llama31_8b,open,Security and Privacy,Collaborate with others,0.6236482623294541
llama31_8b,open,Security and Privacy,Write notes,0.7795799632200461
llama31_8b,open,Security and Privacy,Search for offer on item,0.1729813703151996
llama31_8b,open,Security and Privacy,List items for sale,0.5366009527743385
llama31_8b,open,User Engagement,Broadcast messages to multiple contacts,0.4791745586335071
llama31_8b,open,User Engagement,Send files,0.4648950049862189
llama31_8b,open,User Engagement,Watch streams,0.6270063039464912
llama31_8b,open,User Engagement,Go Live,0.39173185514388065
llama31_8b,open,User Engagement,Play playlist on shuffle mode,0.7006528175377938
llama31_8b,open,User Engagement,Access to podcasts,0.5474957747173115
llama31_8b,open,User Engagement,Build photo collage,0.07379899502371881
llama31_8b,open,User Engagement,Photo effects,0.37764902555784025
llama31_8b,open,User Engagement,Access to movies,0.837188302684619
llama31_8b,open,User Engagement,Rate movies,0.5318817134159315
llama31_8b,open,User Engagement,Keeping up with friends,0.7316898616154074
llama31_8b,open,User Engagement,Play games,0.5143192504448063
llama31_8b,open,User Engagement,Collaborate with others,0.6137237758742369
llama31_8b,open,User Engagement,Write notes,0.7624011980927636
llama31_8b,open,User Engagement,Search for offer on item,0.16179330382928173
llama31_8b,open,User Engagement,List items for sale,0.590916589185994
llama31_8b,open,User Interface and Experience,Broadcast messages to multiple contacts,0.5128741020197866
llama31_8b,open,User Interface and Experience,Send files,0.4368544667405026
llama31_8b,open,User Interface and Experience,Watch streams,0.5656167885997461
llama31_8b,open,User Interface and Experience,Go Live,0.29570016741881266
llama31_8b,open,User Interface and Experience,Play playlist on shuffle mode,0.6721316292094351
llama31_8b,open,User Interface and Experience,Access to podcasts,0.624931393838176
llama31_8b,open,User Interface and Experience,Build photo collage,0.1960827320467864
llama31_8b,open,User Interface and Experience,Photo effects,0.464938390171432
llama31_8b,open,User Interface and Experience,Access to movies,0.8453962301993166
llama31_8b,open,User Interface and Experience,Rate movies,0.4728207756713904
llama31_8b,open,User Interface and Experience,Keeping up with friends,0.6857816090094899
llama31_8b,open,User Interface and Experience,Play games,0.42465292879625954
llama31_8b,open,User Interface and Experience,Collaborate with others,0.5937677720723814
llama31_8b,open,User Interface and Experience,Write notes,0.7673086034503614
llama31_8b,open,User Interface and Experience,Search for offer on item,0.26278334736416864
llama31_8b,open,User Interface and Experience,List items for sale,0.6347832196825347
llama31_8b,open,User Ratings,Broadcast messages to multiple contacts,0.4617336673412724
llama31_8b,open,User Ratings,Send files,0.39685690251661404
llama31_8b,open,User Ratings,Watch streams,0.49720084844984824
llama31_8b,open,User Ratings,Go Live,0.3928610197622099
llama31_8b,open,User Ratings,Play playlist on shuffle mode,0.4779678209732616
llama31_8b,open,User Ratings,Access to podcasts,0.6066442634450597
llama31_8b,open,User Ratings,Build photo collage,0.11971731492450606
llama31_8b,open,User Ratings,Photo effects,0.42386653429555254
llama31_8b,open,User Ratings,Access to movies,0.7450925142265648
llama31_8b,open,User Ratings,Rate movies,0.47211373114915955
llama31_8b,open,User Ratings,Keeping up with friends,0.6922411277659866
llama31_8b,open,User Ratings,Play games,0.5370676988944176
llama31_8b,open,User Ratings,Collaborate with others,0.642747243224905
llama31_8b,open,User Ratings,Write notes,0.7531402582909741
llama31_8b,open,User Ratings,Search for offer on item,0.22176231153212736
llama31_8b,open,User Ratings,List items for sale,0.5053435452983231
gemma3_4b,open,Accessibility Features,Broadcast messages to multiple contacts,0.7115559487581411
gemma3_4b,open,Accessibility Features,Send files,0.7469323021293154
gemma3_4b,open,Accessibility Features,Watch streams,0.5101116288907767
gemma3_4b,open,Accessibility Features,Go Live,0.5118372403755472
gemma3_4b,open,Accessibility Features,Play playlist on shuffle mode,0.880235364832633
gemma3_4b,open,Accessibility Features,Access to podcasts,0.7751313420726943
gemma3_4b,open,Accessibility Features,Build photo collage,0.4174643260958868
gemma3_4b,open,Accessibility Features,Photo effects,0.5014351789779442
gemma3_4b,open,Accessibility Features,Access to movies,0.9217418353163518
gemma3_4b,open,Accessibility Features,Rate movies,0.5269636016909486
gemma3_4b,open,Accessibility Features,Keeping up with friends,0.8022426699314865
gemma3_4b,open,Accessibility Features,Play games,0.6063222159490095
gemma3_4b,open,Accessibility Features,Collaborate with others,0.6960515930915008
gemma3_4b,open,Accessibility Features,Write notes,0.8335146755510965
gemma3_4b,open,Accessibility Features,Search for offer on item,0.14201307928267862
gemma3_4b,open,Accessibility Features,List items for sale,0.8230252281022924
gemma3_4b,open,Cost and Pricing,Broadcast messages to multiple contacts,0.765311234217355
gemma3_4b,open,Cost and Pricing,Send files,0.28315393916679865
gemma3_4b,open,Cost and Pricing,Watch streams,0.341986827488751
gemma3_4b,open,Cost and Pricing,Go Live,0.39673299605180495
gemma3_4b,open,Cost and Pricing,Play playlist on shuffle mode,0.8982366951629213
gemma3_4b,open,Cost and Pricing,Access to podcasts,0.7645030623308214
gemma3_4b,open,Cost and Pricing,Build photo collage,0.4673736051052552
gemma3_4b,open,Cost and Pricing,Photo effects,0.475567823560131
gemma3_4b,open,Cost and Pricing,Access to movies,0.9067774486759248
gemma3_4b,open,Cost and Pricing,Rate movies,0.4989256881069997
gemma3_4b,open,Cost and Pricing,Keeping up with friends,0.7749369298672694
gemma3_4b,open,Cost and Pricing,Play games,0.5808283190250408
gemma3_4b,open,Cost and Pricing,Collaborate with others,0.5711208899721264
gemma3_4b,open,Cost and Pricing,Write notes,0.6912926757568243
gemma3_4b,open,Cost and Pricing,Search for offer on item,0.24101677654393128
gemma3_4b,open,Cost and Pricing,List items for sale,0.7346991910966396
gemma3_4b,open,Cross-Platform Synchronization,Broadcast messages to multiple contacts,0.7406178818683796
gemma3_4b,open,Cross-Platform Synchronization,Send files,0.6506979820561333
gemma3_4b,open,Cross-Platform Synchronization,Watch streams,0.11325127199296371
gemma3_4b,open,Cross-Platform Synchronization,Go Live,0.2140633421143971
gemma3_4b,open,Cross-Platform Synchronization,Play playlist on shuffle mode,0.920529122366486
gemma3_4b,open,Cross-Platform Synchronization,Access to podcasts,0.7722447095716581
gemma3_4b,open,Cross-Platform Synchronization,Build photo collage,0.4578660325470829
gemma3_4b,open,Cross-Platform Synchronization,Photo effects,0.6825250682245233
gemma3_4b,open,Cross-Platform Synchronization,Access to movies,0.8950638131451022
gemma3_4b,open,Cross-Platform Synchronization,Rate movies,0.5190968745671275
gemma3_4b,open,Cross-Platform Synchronization,Keeping up with friends,0.789011094427748
gemma3_4b,open,Cross-Platform Synchronization,Play games,0.11613128878256619
gemma3_4b,open,Cross-Platform Synchronization,Collaborate with others,0.5483303442729554
gemma3_4b,open,Cross-Platform Synchronization,Write notes,0.7663157429724252
gemma3_4b,open,Cross-Platform Synchronization,Search for offer on item,0.2919888585177317
gemma3_4b,open,Cross-Platform Synchronization,List items for sale,0.760944520612426
gemma3_4b,open,Customer Support,Broadcast messages to multiple contacts,0.7790940363599045
gemma3_4b,open,Customer Support,Send files,0.3494568633169844
gemma3_4b,open,Customer Support,Watch streams,0.40082897310180665
gemma3_4b,open,Customer Support,Go Live,0.4319878451398975
gemma3_4b,open,Customer Support,Play playlist on shuffle mode,0.9148248001294983
gemma3_4b,open,Customer Support,Access to podcasts,0.7950762858240324
gemma3_4b,open,Customer Support,Build photo collage,0.4635561912772439
gemma3_4b,open,Customer Support,Photo effects,0.566910545108833
gemma3_4b,open,Customer Support,Access to movies,0.9225138981898106
gemma3_4b,open,Customer Support,Rate movies,0.5346085894089954
gemma3_4b,open,Customer Support,Keeping up with friends,0.7329551116705294
gemma3_4b,open,Customer Support,Play games,0.46499025045059866
gemma3_4b,open,Customer Support,Collaborate with others,0.4902259548923976
gemma3_4b,open,Customer Support,Write notes,0.7490162446061207
gemma3_4b,open,Customer Support,Search for offer on item,0.17003908295311182
gemma3_4b,open,Customer Support,List items for sale,0.8625452660329723
gemma3_4b,open,Customization Options,Broadcast messages to multiple contacts,0.7535652809517619
gemma3_4b,open,Customization Options,Send files,0.4179988184364656
gemma3_4b,open,Customization Options,Watch streams,0.23493865942295564
gemma3_4b,open,Customization Options,Go Live,0.5818568306154925
gemma3_4b,open,Customization Options,Play playlist on shuffle mode,0.9143461129799898
gemma3_4b,open,Customization Options,Access to podcasts,0.7827502520494524
gemma3_4b,open,Customization Options,Build photo collage,0.32846330745154617
gemma3_4b,open,Customization Options,Photo effects,0.7225987346357052
gemma3_4b,open,Customization Options,Access to movies,0.8835844176562234
gemma3_4b,open,Customization Options,Rate movies,0.5162636534191997
gemma3_4b,open,Customization Options,Keeping up with friends,0.8586691634383133
gemma3_4b,open,Customization Options,Play games,0.12855552960388555
gemma3_4b,open,Customization Options,Collaborate with others,0.6625695905436848
gemma3_4b,open,Customization Options,Write notes,0.7367372825230087
gemma3_4b,open,Customization Options,Search for offer on item,0.3280548668603174
gemma3_4b,open,Customization Options,List items for sale,0.8341434007688381
gemma3_4b,open,Feature Breadth and Richness,Broadcast messages to multiple contacts,0.7906208483992655
gemma3_4b,open,Feature Breadth and Richness,Send files,0.42041467284889616
gemma3_4b,open,Feature Breadth and Richness,Watch streams,0.4552737683147085
gemma3_4b,open,Feature Breadth and Richness,Go Live,0.6135744485005216
gemma3_4b,open,Feature Breadth and Richness,Play playlist on shuffle mode,0.910732328232416
gemma3_4b,open,Feature Breadth and Richness,Access to podcasts,0.8029523917950468
gemma3_4b,open,Feature Breadth and Richness,Build photo collage,0.48050942919171025
gemma3_4b,open,Feature Breadth and Richness,Photo effects,0.5952685170470625
gemma3_4b,open,Feature Breadth and Richness,Access to movies,0.912577285601095
gemma3_4b,open,Feature Breadth and Richness,Rate movies,0.5229104841899408
gemma3_4b,open,Feature Breadth and Richness,Keeping up with friends,0.8034478671960044
gemma3_4b,open,Feature Breadth and Richness,Play games,0.36953915538562115
gemma3_4b,open,Feature Breadth and Richness,Collaborate with others,0.6284486208762082
gemma3_4b,open,Feature Breadth and Richness,Write notes,0.7388224631882077
gemma3_4b,open,Feature Breadth and Richness,Search for offer on item,0.10377776416754117
gemma3_4b,open,Feature Breadth and Richness,List items for sale,0.7894886344523254
gemma3_4b,open,Integration with Other Services,Broadcast messages to multiple contacts,0.6624921053964558
gemma3_4b,open,Integration with Other Services,Send files,0.5413521733380027
gemma3_4b,open,Integration with Other Services,Watch streams,0.6187620882067508
gemma3_4b,open,Integration with Other Services,Go Live,0.4863615528417412
gemma3_4b,open,Integration with Other Services,Play playlist on shuffle mode,0.9168866812881837
gemma3_4b,open,Integration with Other Services,Access to podcasts,0.7535372944919153
gemma3_4b,open,Integration with Other Services,Build photo collage,0.406424738268268
gemma3_4b,open,Integration with Other Services,Photo effects,0.6464530827586553
gemma3_4b,open,Integration with Other Services,Access to movies,0.9077594267825678
gemma3_4b,open,Integration with Other Services,Rate movies,0.5068297362778076
gemma3_4b,open,Integration with Other Services,Keeping up with friends,0.7858905959381266
gemma3_4b,open,Integration with Other Services,Play games,0.15697042167443773
gemma3_4b,open,Integration with Other Services,Collaborate with others,0.6262807977957248
gemma3_4b,open,Integration with Other Services,Write notes,0.6741685522367759
gemma3_4b,open,Integration with Other Services,Search for offer on item,0.4233318131930573
gemma3_4b,open,Integration with Other Services,List items for sale,0.7697408616268432
gemma3_4b,open,Performance and Stability,Broadcast messages to multiple contacts,0.7660165719021431
gemma3_4b,open,Performance and Stability,Send files,0.6254796398714808
gemma3_4b,open,Performance and Stability,Watch streams,0.4479146947874326
gemma3_4b,open,Performance and Stability,Go Live,0.5150835339119763
gemma3_4b,open,Performance and Stability,Play playlist on shuffle mode,0.8932622653645537
gemma3_4b,open,Performance and Stability,Access to podcasts,0.742168497166088
gemma3_4b,open,Performance and Stability,Build photo collage,0.4453527800731697
gemma3_4b,open,Performance and Stability,Photo effects,0.47385213938787535
gemma3_4b,open,Performance and Stability,Access to movies,0.8920723183739002
gemma3_4b,open,Performance and Stability,Rate movies,0.4619187015277263
gemma3_4b,open,Performance and Stability,Keeping up with friends,0.8452122117670366
gemma3_4b,open,Performance and Stability,Play games,0.5794143339642086
gemma3_4b,open,Performance and Stability,Collaborate with others,0.7317711496401605
gemma3_4b,open,Performance and Stability,Write notes,0.8288445508224246
gemma3_4b,open,Performance and Stability,Search for offer on item,0.2568002289507113
gemma3_4b,open,Performance and Stability,List items for sale,0.8339086230448636
gemma3_4b,open,Platform and Device Compatibility,Broadcast messages to multiple contacts,0.7816228787541857
gemma3_4b,open,Platform and Device Compatibility,Send files,0.7024539562560069
gemma3_4b,open,Platform and Device Compatibility,Watch streams,0.13369349886964552
gemma3_4b,open,Platform and Device Compatibility,Go Live,0.7280390684406691
gemma3_4b,open,Platform and Device Compatibility,Play playlist on shuffle mode,0.9213964496342668
gemma3_4b,open,Platform and Device Compatibility,Access to podcasts,0.7899789569040505
gemma3_4b,open,Platform and Device Compatibility,Build photo collage,0.5083274052579029
gemma3_4b,open,Platform and Device Compatibility,Photo effects,0.4712062730335964
gemma3_4b,open,Platform and Device Compatibility,Access to movies,0.9178215735603455
gemma3_4b,open,Platform and Device Compatibility,Rate movies,0.5019053679169414
gemma3_4b,open,Platform and Device Compatibility,Keeping up with friends,0.7689136717248506
gemma3_4b,open,Platform and Device Compatibility,Play games,0.4913544938471482
gemma3_4b,open,Platform and Device Compatibility,Collaborate with others,0.7174188187671671
gemma3_4b,open,Platform and Device Compatibility,Write notes,0.6767004625336074
gemma3_4b,open,Platform and Device Compatibility,Search for offer on item,0.28752314444462146
gemma3_4b,open,Platform and Device Compatibility,List items for sale,0.8082141118797631
gemma3_4b,open,Popularity and Market Reach,Broadcast messages to multiple contacts,0.7876249081440342
