model,criterion,feature,rbo
llama31_8b,Customer Support,Send files,0.32973541597786943
llama31_8b,Customer Support,Watch streams,0.579441684369373
llama31_8b,Customer Support,Go Live,0.4996348859932359
llama31_8b,Customer Support,Play playlist on shuffle mode,0.6587425429414282
llama31_8b,Customer Support,Access to podcasts,0.5401382775925222
llama31_8b,Customer Support,Build photo collage,0.035975394315633555
llama31_8b,Customer Support,Photo effects,0.5270439458494749
llama31_8b,Customer Support,Access to movies,0.708205609190683
llama31_8b,Customer Support,Rate movies,0.3158962891724621
llama31_8b,Customer Support,Keeping up with friends,0.6538027473888786
llama31_8b,Customer Support,Play games,0.48458532567029583
llama31_8b,Customer Support,Collaborate with others,0.7708199518707586
llama31_8b,Customer Support,Write notes,0.766839524221264
llama31_8b,Customer Support,Search for offer on item,0.1373291899186387
llama31_8b,Customer Support,List items for sale,0.09012090658117888
llama31_8b,Customization Options,Broadcast messages to multiple contacts,0.24439767095319614
llama31_8b,Customization Options,Send files,0.41074898784304004
llama31_8b,Customization Options,Watch streams,0.5282942018203781
llama31_8b,Customization Options,Go Live,0.4635369752973883
llama31_8b,Customization Options,Play playlist on shuffle mode,0.4085102616627137
llama31_8b,Customization Options,Access to podcasts,0.5609061114542737
llama31_8b,Customization Options,Build photo collage,0.016540495088828516
llama31_8b,Customization Options,Photo effects,0.4469185166209437
llama31_8b,Customization Options,Access to movies,0.6129942014739858
llama31_8b,Customization Options,Rate movies,0.44517312869975145
llama31_8b,Customization Options,Keeping up with friends,0.5075536085154198
llama31_8b,Customization Options,Play games,0.340933849317832
llama31_8b,Customization Options,Collaborate with others,0.6481805771185811
llama31_8b,Customization Options,Write notes,0.7555004379957027
llama31_8b,Customization Options,Search for offer on item,0.2035529104149562
llama31_8b,Customization Options,List items for sale,0.4937536169695201
llama31_8b,Feature Breadth and Richness,Broadcast messages to multiple contacts,0.20390407382957634
llama31_8b,Feature Breadth and Richness,Send files,0.28004201665882034
llama31_8b,Feature Breadth and Richness,Watch streams,0.5851442726580256
llama31_8b,Feature Breadth and Richness,Go Live,0.35931068186319787
llama31_8b,Feature Breadth and Richness,Play playlist on shuffle mode,0.8061198724203653
llama31_8b,Feature Breadth and Richness,Access to podcasts,0.6192308709466774
llama31_8b,Feature Breadth and Richness,Build photo collage,0.07594081055048049
llama31_8b,Feature Breadth and Richness,Photo effects,0.3444149174274762
llama31_8b,Feature Breadth and Richness,Access to movies,0.7960559401344758
llama31_8b,Feature Breadth and Richness,Rate movies,0.5263496771478479
llama31_8b,Feature Breadth and Richness,Keeping up with friends,0.6135142570707501
llama31_8b,Feature Breadth and Richness,Play games,0.44618546315762664
llama31_8b,Feature Breadth and Richness,Collaborate with others,0.7568275773946047
llama31_8b,Feature Breadth and Richness,Write notes,0.7406423511513981
llama31_8b,Feature Breadth and Richness,Search for offer on item,0.25801080487315187
llama31_8b,Feature Breadth and Richness,List items for sale,0.5021883004383852
llama31_8b,Integration with Other Services,Broadcast messages to multiple contacts,0.2618289888466302
llama31_8b,Integration with Other Services,Send files,0.3541821458841111
llama31_8b,Integration with Other Services,Watch streams,0.5280656512666655
llama31_8b,Integration with Other Services,Go Live,0.3593608126284792
llama31_8b,Integration with Other Services,Play playlist on shuffle mode,0.5063922880151318
llama31_8b,Integration with Other Services,Access to podcasts,0.6568865308655835
llama31_8b,Integration with Other Services,Build photo collage,0.05902465578245798
llama31_8b,Integration with Other Services,Photo effects,0.4164005389558082
llama31_8b,Integration with Other Services,Access to movies,0.7670110681536179
llama31_8b,Integration with Other Services,Rate movies,0.4592628440599341
llama31_8b,Integration with Other Services,Keeping up with friends,0.7184687441370794
llama31_8b,Integration with Other Services,Play games,0.5282352759060424
llama31_8b,Integration with Other Services,Collaborate with others,0.6902823205497126
llama31_8b,Integration with Other Services,Write notes,0.7949786743497163
llama31_8b,Integration with Other Services,Search for offer on item,0.2667812429662023
llama31_8b,Integration with Other Services,List items for sale,0.6131561427113457
llama31_8b,Performance and Stability,Broadcast messages to multiple contacts,0.2809876067433271
llama31_8b,Performance and Stability,Send files,0.3098078337978073
llama31_8b,Performance and Stability,Watch streams,0.5226734618124735
llama31_8b,Performance and Stability,Go Live,0.2952483505017805
llama31_8b,Performance and Stability,Play playlist on shuffle mode,0.49258029045504426
llama31_8b,Performance and Stability,Access to podcasts,0.44209616429146303
llama31_8b,Performance and Stability,Build photo collage,0.11340056606464446
llama31_8b,Performance and Stability,Photo effects,0.2756781984138135
llama31_8b,Performance and Stability,Access to movies,0.6789655043139424
llama31_8b,Performance and Stability,Rate movies,0.29922813733067183
llama31_8b,Performance and Stability,Keeping up with friends,0.6343354020649843
llama31_8b,Performance and Stability,Play games,0.5297175670043994
llama31_8b,Performance and Stability,Collaborate with others,0.6444788644124986
llama31_8b,Performance and Stability,Write notes,0.7660733387238965
llama31_8b,Performance and Stability,Search for offer on item,0.0830269649149159
llama31_8b,Performance and Stability,List items for sale,0.55907827074543
llama31_8b,Platform and Device Compatibility,Broadcast messages to multiple contacts,0.6533214683450744
llama31_8b,Platform and Device Compatibility,Send files,0.26082249918086764
llama31_8b,Platform and Device Compatibility,Watch streams,0.5853702690079973
llama31_8b,Platform and Device Compatibility,Go Live,0.5889618731299738
llama31_8b,Platform and Device Compatibility,Play playlist on shuffle mode,0.6655518339022635
llama31_8b,Platform and Device Compatibility,Access to podcasts,0.6391214213131573
llama31_8b,Platform and Device Compatibility,Build photo collage,0.18389574168443348
llama31_8b,Platform and Device Compatibility,Photo effects,0.45056303962397354
llama31_8b,Platform and Device Compatibility,Access to movies,0.7775533256759176
llama31_8b,Platform and Device Compatibility,Rate movies,0.43654298879630415
llama31_8b,Platform and Device Compatibility,Keeping up with friends,0.6367302493223257
llama31_8b,Platform and Device Compatibility,Play games,0.6416068274775485
llama31_8b,Platform and Device Compatibility,Collaborate with others,0.6842248745357699
llama31_8b,Platform and Device Compatibility,Write notes,0.7817222702667193
llama31_8b,Platform and Device Compatibility,Search for offer on item,0.005378158969051074
llama31_8b,Platform and Device Compatibility,List items for sale,0.47773448973294697
llama31_8b,Popularity and Market Reach,Broadcast messages to multiple contacts,0.5558244152531359
llama31_8b,Popularity and Market Reach,Send files,0.26997244291162714
llama31_8b,Popularity and Market Reach,Watch streams,0.6327548162022997
llama31_8b,Popularity and Market Reach,Go Live,0.4696184240917911
llama31_8b,Popularity and Market Reach,Play playlist on shuffle mode,0.6753793114301321
llama31_8b,Popularity and Market Reach,Access to podcasts,0.6699832279488943
llama31_8b,Popularity and Market Reach,Build photo collage,0.19586545851005546
llama31_8b,Popularity and Market Reach,Photo effects,0.4830801829231701
llama31_8b,Popularity and Market Reach,Access to movies,0.8596595475425595
llama31_8b,Popularity and Market Reach,Rate movies,0.34117445549217196
llama31_8b,Popularity and Market Reach,Keeping up with friends,0.6102612153923457
llama31_8b,Popularity and Market Reach,Play games,0.43400455587918857
llama31_8b,Popularity and Market Reach,Collaborate with others,0.8236639846123717
llama31_8b,Popularity and Market Reach,Write notes,0.7922940762256678
llama31_8b,Popularity and Market Reach,Search for offer on item,0.1440694037048381
llama31_8b,Popularity and Market Reach,List items for sale,0.28100143138414596
llama31_8b,Regional and Geographical Availability,Broadcast messages to multiple contacts,0.39393907370958436
llama31_8b,Regional and Geographical Availability,Send files,0.20029145282477828
llama31_8b,Regional and Geographical Availability,Watch streams,0.64672478096967
llama31_8b,Regional and Geographical Availability,Go Live,0.2935951327928255
llama31_8b,Regional and Geographical Availability,Play playlist on shuffle mode,0.8006716302638333
llama31_8b,Regional and Geographical Availability,Access to podcasts,0.519187882949598
llama31_8b,Regional and Geographical Availability,Build photo collage,0.053208479386787425
llama31_8b,Regional and Geographical Availability,Photo effects,0.1896623759206975
llama31_8b,Regional and Geographical Availability,Access to movies,0.9029614098118781
llama31_8b,Regional and Geographical Availability,Rate movies,0.5496902064604131
llama31_8b,Regional and Geographical Availability,Keeping up with friends,0.7503898193921887
llama31_8b,Regional and Geographical Availability,Play games,0.4459893977124561
llama31_8b,Regional and Geographical Availability,Collaborate with others,0.6550209138216286
llama31_8b,Regional and Geographical Availability,Write notes,0.7909195888689935
llama31_8b,Regional and Geographical Availability,Search for offer on item,0.09042213016143721
llama31_8b,Regional and Geographical Availability,List items for sale,0.4707659099264562
llama31_8b,Regular Updates and Maintenance,Broadcast messages to multiple contacts,0.46891084801147276
llama31_8b,Regular Updates and Maintenance,Send files,0.2757845446972039
llama31_8b,Regular Updates and Maintenance,Watch streams,0.4642773675594384
llama31_8b,Regular Updates and Maintenance,Go Live,0.40640005403244467
llama31_8b,Regular Updates and Maintenance,Play playlist on shuffle mode,0.6114594478342822
llama31_8b,Regular Updates and Maintenance,Access to podcasts,0.1471962952858126
llama31_8b,Regular Updates and Maintenance,Build photo collage,0.0014682101038560676
llama31_8b,Regular Updates and Maintenance,Photo effects,0.2733498950818891
llama31_8b,Regular Updates and Maintenance,Access to movies,0.6506175667605667
llama31_8b,Regular Updates and Maintenance,Rate movies,0.1741797740309835
llama31_8b,Regular Updates and Maintenance,Keeping up with friends,0.7579987080132247
llama31_8b,Regular Updates and Maintenance,Play games,0.39995515220375155
llama31_8b,Regular Updates and Maintenance,Collaborate with others,0.6400637257953086
llama31_8b,Regular Updates and Maintenance,Write notes,0.7568860191775424
llama31_8b,Regular Updates and Maintenance,Search for offer on item,0.0013223093704618691
llama31_8b,Regular Updates and Maintenance,List items for sale,0.4079169860407597
llama31_8b,Security and Privacy,Broadcast messages to multiple contacts,0.4412304401510142
llama31_8b,Security and Privacy,Send files,0.1917731553336135
llama31_8b,Security and Privacy,Watch streams,0.5848223194731352
llama31_8b,Security and Privacy,Go Live,0.4412967817551488
llama31_8b,Security and Privacy,Play playlist on shuffle mode,0.40593453394595763
llama31_8b,Security and Privacy,Access to podcasts,0.5010150145997218
llama31_8b,Security and Privacy,Build photo collage,0.0421922909149408
llama31_8b,Security and Privacy,Photo effects,0.14588424971498326
llama31_8b,Security and Privacy,Access to movies,0.6686954687858753
llama31_8b,Security and Privacy,Rate movies,0.42187751209969065
llama31_8b,Security and Privacy,Keeping up with friends,0.43872758246647514
llama31_8b,Security and Privacy,Play games,0.5278303775214674
llama31_8b,Security and Privacy,Collaborate with others,0.7114067732759866
llama31_8b,Security and Privacy,Write notes,0.8208919080958704
llama31_8b,Security and Privacy,Search for offer on item,0.08489349267125472
llama31_8b,Security and Privacy,List items for sale,0.4560641288940011
llama31_8b,User Engagement,Broadcast messages to multiple contacts,0.4727918755669407
llama31_8b,User Engagement,Send files,0.4358585330581832
llama31_8b,User Engagement,Watch streams,0.578870387854745
llama31_8b,User Engagement,Go Live,0.41684825973595957
llama31_8b,User Engagement,Play playlist on shuffle mode,0.6516165433572046
llama31_8b,User Engagement,Access to podcasts,0.4624974117632097
llama31_8b,User Engagement,Build photo collage,0.02986950301817597
llama31_8b,User Engagement,Photo effects,0.2048637070726745
llama31_8b,User Engagement,Access to movies,0.8312102943374958
llama31_8b,User Engagement,Rate movies,0.4672448155241578
llama31_8b,User Engagement,Keeping up with friends,0.7782051677373312
llama31_8b,User Engagement,Play games,0.49278210715994497
llama31_8b,User Engagement,Collaborate with others,0.6228626178770319
llama31_8b,User Engagement,Write notes,0.7590732222287819
llama31_8b,User Engagement,Search for offer on item,0.34073799650117453
llama31_8b,User Engagement,List items for sale,0.5433215796503028
llama31_8b,User Interface and Experience,Broadcast messages to multiple contacts,0.5710861621479102
llama31_8b,User Interface and Experience,Send files,0.36398142116897914
llama31_8b,User Interface and Experience,Watch streams,0.5043467450379605
llama31_8b,User Interface and Experience,Go Live,0.25326527901548007
llama31_8b,User Interface and Experience,Play playlist on shuffle mode,0.6313320475503809
llama31_8b,User Interface and Experience,Access to podcasts,0.6034521498743269
llama31_8b,User Interface and Experience,Build photo collage,0.14003481760389558
llama31_8b,User Interface and Experience,Photo effects,0.37376696792761516
llama31_8b,User Interface and Experience,Access to movies,0.8416044730415138
llama31_8b,User Interface and Experience,Rate movies,0.5012187819439242
llama31_8b,User Interface and Experience,Keeping up with friends,0.6990329685503835
llama31_8b,User Interface and Experience,Play games,0.5265826876906171
llama31_8b,User Interface and Experience,Collaborate with others,0.6170781059411289
llama31_8b,User Interface and Experience,Write notes,0.7795644461713929
llama31_8b,User Interface and Experience,Search for offer on item,0.33004951668287325
llama31_8b,User Interface and Experience,List items for sale,0.599450406050928
llama31_8b,User Ratings,Broadcast messages to multiple contacts,0.5441019347482379
llama31_8b,User Ratings,Send files,0.31788379216031254
llama31_8b,User Ratings,Watch streams,0.5330759535834528
llama31_8b,User Ratings,Go Live,0.40898882318191265
llama31_8b,User Ratings,Play playlist on shuffle mode,0.43333318250854697
llama31_8b,User Ratings,Access to podcasts,0.5813720803485037
llama31_8b,User Ratings,Build photo collage,0.08414105018649601
llama31_8b,User Ratings,Photo effects,0.2820838603581096
llama31_8b,User Ratings,Access to movies,0.6937656851292345
llama31_8b,User Ratings,Rate movies,0.34546895876925027
llama31_8b,User Ratings,Keeping up with friends,0.8137777503047643
llama31_8b,User Ratings,Play games,0.593300145510945
llama31_8b,User Ratings,Collaborate with others,0.7549344256428907
llama31_8b,User Ratings,Write notes,0.7542805042727684
llama31_8b,User Ratings,Search for offer on item,0.16156426866892423
llama31_8b,User Ratings,List items for sale,0.3544669426308988
gemma3_4b,Accessibility Features,Broadcast messages to multiple contacts,0.6660763214541312
gemma3_4b,Accessibility Features,Send files,0.9093734829852349
gemma3_4b,Accessibility Features,Watch streams,0.5618013410647675
gemma3_4b,Accessibility Features,Go Live,0.5160700760000829
gemma3_4b,Accessibility Features,Access to podcasts,0.8364674886027874
gemma3_4b,Accessibility Features,Build photo collage,0.5399870698398599
gemma3_4b,Accessibility Features,Photo effects,0.5417477294777999
gemma3_4b,Accessibility Features,Access to movies,0.9315542046004133
gemma3_4b,Accessibility Features,Rate movies,0.5607510804433268
gemma3_4b,Accessibility Features,Keeping up with friends,0.774949017279687
gemma3_4b,Accessibility Features,Play games,0.5745884496559603
gemma3_4b,Accessibility Features,Collaborate with others,0.6920185574123728
gemma3_4b,Accessibility Features,Write notes,0.8573261376346409
gemma3_4b,Accessibility Features,Search for offer on item,0.47422254334047553
gemma3_4b,Accessibility Features,List items for sale,0.856034531301639
gemma3_4b,Cost and Pricing,Broadcast messages to multiple contacts,0.7435142781273626
gemma3_4b,Cost and Pricing,Send files,0.41419533466972336
gemma3_4b,Cost and Pricing,Watch streams,0.29882746767571655
gemma3_4b,Cost and Pricing,Go Live,0.18937159757463184
gemma3_4b,Cost and Pricing,Play playlist on shuffle mode,0.8908761161252526
gemma3_4b,Cost and Pricing,Access to podcasts,0.7645355043894969
gemma3_4b,Cost and Pricing,Build photo collage,0.4626415512841838
gemma3_4b,Cost and Pricing,Photo effects,0.4550931849376806
gemma3_4b,Cost and Pricing,Access to movies,0.9124826050614809
gemma3_4b,Cost and Pricing,Rate movies,0.5666096578835141
gemma3_4b,Cost and Pricing,Keeping up with friends,0.7460146229633928
gemma3_4b,Cost and Pricing,Play games,0.5791341448157286
gemma3_4b,Cost and Pricing,Collaborate with others,0.507835541495177
gemma3_4b,Cost and Pricing,Write notes,0.9212794243577214
gemma3_4b,Cost and Pricing,Search for offer on item,0.2322873266476265
gemma3_4b,Cost and Pricing,List items for sale,0.7121563696078775
gemma3_4b,Cross-Platform Synchronization,Broadcast messages to multiple contacts,0.7359304739442466
gemma3_4b,Cross-Platform Synchronization,Send files,0.6892475921574327
gemma3_4b,Cross-Platform Synchronization,Watch streams,0.7617187995715579
gemma3_4b,Cross-Platform Synchronization,Go Live,0.09842604912600408
gemma3_4b,Cross-Platform Synchronization,Play playlist on shuffle mode,0.9319730792196379
gemma3_4b,Cross-Platform Synchronization,Access to podcasts,0.7518223348749745
gemma3_4b,Cross-Platform Synchronization,Build photo collage,0.605029704963371
gemma3_4b,Cross-Platform Synchronization,Photo effects,0.7105581347152501
gemma3_4b,Cross-Platform Synchronization,Access to movies,0.8770454366702849
gemma3_4b,Cross-Platform Synchronization,Rate movies,0.5366043690191424
gemma3_4b,Cross-Platform Synchronization,Keeping up with friends,0.7802937550476433
gemma3_4b,Cross-Platform Synchronization,Play games,0.6659357248507602
gemma3_4b,Cross-Platform Synchronization,Collaborate with others,0.7335751360849524
gemma3_4b,Cross-Platform Synchronization,Write notes,0.7739015137721678
gemma3_4b,Cross-Platform Synchronization,Search for offer on item,0.1902822907624964
gemma3_4b,Cross-Platform Synchronization,List items for sale,0.7227799976774429
gemma3_4b,Customer Support,Broadcast messages to multiple contacts,0.7689773784357748
gemma3_4b,Customer Support,Send files,0.545967463635184
gemma3_4b,Customer Support,Watch streams,0.13308517546604512
gemma3_4b,Customer Support,Go Live,0.42530367184924317
gemma3_4b,Customer Support,Play playlist on shuffle mode,0.9614962858469638
gemma3_4b,Customer Support,Access to podcasts,0.7965821077110739
gemma3_4b,Customer Support,Build photo collage,0.48954307260929275
gemma3_4b,Customer Support,Photo effects,0.4303463278101045
gemma3_4b,Customer Support,Access to movies,0.9489558921560347
gemma3_4b,Customer Support,Rate movies,0.6356799504853462
gemma3_4b,Customer Support,Keeping up with friends,0.8038543559072353
gemma3_4b,Customer Support,Play games,0.46047859005269115
gemma3_4b,Customer Support,Collaborate with others,0.5043364310812894
gemma3_4b,Customer Support,Write notes,0.7106516994746027
gemma3_4b,Customer Support,Search for offer on item,0.5176988650061342
gemma3_4b,Customer Support,List items for sale,0.8495344985539379
gemma3_4b,Customization Options,Broadcast messages to multiple contacts,0.7377122027107428
gemma3_4b,Customization Options,Send files,0.4132609390301565
gemma3_4b,Customization Options,Watch streams,0.3299515985267468
gemma3_4b,Customization Options,Go Live,0.5012377089094658
gemma3_4b,Customization Options,Play playlist on shuffle mode,0.9004975472541995
gemma3_4b,Customization Options,Build photo collage,0.22500835086137413
gemma3_4b,Customization Options,Photo effects,0.7472646183861329
gemma3_4b,Customization Options,Access to movies,0.8679217306379463
gemma3_4b,Customization Options,Rate movies,0.638197088838005
gemma3_4b,Customization Options,Keeping up with friends,0.9131944355766389
gemma3_4b,Customization Options,Play games,0.614111378182814
gemma3_4b,Customization Options,Collaborate with others,0.6383646452958514
gemma3_4b,Customization Options,Write notes,0.9186380037186743
gemma3_4b,Customization Options,Search for offer on item,0.23741904451957097
gemma3_4b,Customization Options,List items for sale,0.784549613075346
gemma3_4b,Feature Breadth and Richness,Broadcast messages to multiple contacts,0.8010414351004432
gemma3_4b,Feature Breadth and Richness,Send files,0.47975873133950786
gemma3_4b,Feature Breadth and Richness,Watch streams,0.3770120558117846
gemma3_4b,Feature Breadth and Richness,Go Live,0.5883666723934897
gemma3_4b,Feature Breadth and Richness,Play playlist on shuffle mode,0.9065786126784833
gemma3_4b,Feature Breadth and Richness,Access to podcasts,0.8189307121811837
gemma3_4b,Feature Breadth and Richness,Build photo collage,0.529276679541755
gemma3_4b,Feature Breadth and Richness,Photo effects,0.5091962057754943
gemma3_4b,Feature Breadth and Richness,Access to movies,0.9427210318980028
gemma3_4b,Feature Breadth and Richness,Rate movies,0.5197563118691458
gemma3_4b,Feature Breadth and Richness,Keeping up with friends,0.7612350260557668
gemma3_4b,Feature Breadth and Richness,Play games,0.3247824553543323
gemma3_4b,Feature Breadth and Richness,Collaborate with others,0.5315922387787565
gemma3_4b,Feature Breadth and Richness,Search for offer on item,0.2561839741373574
gemma3_4b,Feature Breadth and Richness,List items for sale,0.7068642568690106
gemma3_4b,Integration with Other Services,Broadcast messages to multiple contacts,0.6143201459823262
gemma3_4b,Integration with Other Services,Send files,0.5192008957218088
gemma3_4b,Integration with Other Services,Watch streams,0.7920264937165113
gemma3_4b,Integration with Other Services,Go Live,0.39404699881432503
gemma3_4b,Integration with Other Services,Play playlist on shuffle mode,0.9153607179870716
gemma3_4b,Integration with Other Services,Access to podcasts,0.7281303108170468
gemma3_4b,Integration with Other Services,Build photo collage,0.4937697692362887
gemma3_4b,Integration with Other Services,Photo effects,0.6649881784433372
gemma3_4b,Integration with Other Services,Access to movies,0.9060084908016257
gemma3_4b,Integration with Other Services,Rate movies,0.5390596149826123
gemma3_4b,Integration with Other Services,Keeping up with friends,0.7479760482503459
gemma3_4b,Integration with Other Services,Play games,0.7070829549343961
gemma3_4b,Integration with Other Services,Collaborate with others,0.6083606271219459
gemma3_4b,Integration with Other Services,Write notes,0.8378596456420381
gemma3_4b,Integration with Other Services,Search for offer on item,0.5400980240002984
gemma3_4b,Integration with Other Services,List items for sale,0.7418108005326473
gemma3_4b,Performance and Stability,Broadcast messages to multiple contacts,0.7474555324790668
gemma3_4b,Performance and Stability,Send files,0.6597579923676742
gemma3_4b,Performance and Stability,Go Live,0.45311101039685014
gemma3_4b,Performance and Stability,Play playlist on shuffle mode,0.8677023274686239
gemma3_4b,Performance and Stability,Access to podcasts,0.7338893938205389
gemma3_4b,Performance and Stability,Build photo collage,0.4396036793412108
gemma3_4b,Performance and Stability,Photo effects,0.3659440100219301
gemma3_4b,Performance and Stability,Access to movies,0.851196727461606
gemma3_4b,Performance and Stability,Rate movies,0.45983596964545903
gemma3_4b,Performance and Stability,Keeping up with friends,0.825370558335177
gemma3_4b,Performance and Stability,Play games,0.654878430575598
gemma3_4b,Performance and Stability,Collaborate with others,0.8027534896847619
gemma3_4b,Performance and Stability,Write notes,0.833534766788374
gemma3_4b,Performance and Stability,Search for offer on item,0.2052130560341066
gemma3_4b,Performance and Stability,List items for sale,0.8134436166085038
gemma3_4b,Platform and Device Compatibility,Broadcast messages to multiple contacts,0.7773696517410862
gemma3_4b,Platform and Device Compatibility,Send files,0.7631401236842935
gemma3_4b,Platform and Device Compatibility,Go Live,0.7244155973199389
gemma3_4b,Platform and Device Compatibility,Play playlist on shuffle mode,0.9326829199132953
gemma3_4b,Platform and Device Compatibility,Access to podcasts,0.8444132986295732
gemma3_4b,Platform and Device Compatibility,Build photo collage,0.6116708727235889
gemma3_4b,Platform and Device Compatibility,Photo effects,0.5466583337177461
gemma3_4b,Platform and Device Compatibility,Access to movies,0.9249216877904128
gemma3_4b,Platform and Device Compatibility,Rate movies,0.5145016394673663
gemma3_4b,Platform and Device Compatibility,Keeping up with friends,0.8057972124690181
gemma3_4b,Platform and Device Compatibility,Play games,0.6092582210402855
gemma3_4b,Platform and Device Compatibility,Collaborate with others,0.739681455444043
gemma3_4b,Platform and Device Compatibility,Write notes,0.6521091660956084
gemma3_4b,Platform and Device Compatibility,Search for offer on item,0.18428211456803129
gemma3_4b,Platform and Device Compatibility,List items for sale,0.7663219919286295
gemma3_4b,Popularity and Market Reach,Broadcast messages to multiple contacts,0.8186126814988907
gemma3_4b,Popularity and Market Reach,Send files,0.8581175023777199
gemma3_4b,Popularity and Market Reach,Watch streams,0.43769028083504163
gemma3_4b,Popularity and Market Reach,Go Live,0.5813494311299193
gemma3_4b,Popularity and Market Reach,Play playlist on shuffle mode,0.9055912873990745
gemma3_4b,Popularity and Market Reach,Access to podcasts,0.8279036871102782
gemma3_4b,Popularity and Market Reach,Build photo collage,0.49372223621128936
gemma3_4b,Popularity and Market Reach,Photo effects,0.49607210807670327
gemma3_4b,Popularity and Market Reach,Access to movies,0.9189141762694744
gemma3_4b,Popularity and Market Reach,Rate movies,0.5169107979433323
gemma3_4b,Popularity and Market Reach,Keeping up with friends,0.8597393674515477
gemma3_4b,Popularity and Market Reach,Play games,0.600819433838688
gemma3_4b,Popularity and Market Reach,Collaborate with others,0.7191683989595479
gemma3_4b,Popularity and Market Reach,Write notes,0.8049266450070137
gemma3_4b,Popularity and Market Reach,Search for offer on item,0.26322821011454806
gemma3_4b,Popularity and Market Reach,List items for sale,0.9167262790738346
gemma3_4b,Regional and Geographical Availability,Broadcast messages to multiple contacts,0.7989815311261721
gemma3_4b,Regional and Geographical Availability,Send files,0.4632150069684256
gemma3_4b,Regional and Geographical Availability,Watch streams,0.31585158265790825
gemma3_4b,Regional and Geographical Availability,Go Live,0.3329984501100144
gemma3_4b,Regional and Geographical Availability,Play playlist on shuffle mode,0.8998413194024107
gemma3_4b,Regional and Geographical Availability,Access to podcasts,0.8528216179175147
gemma3_4b,Regional and Geographical Availability,Build photo collage,0.4816750672441752
gemma3_4b,Regional and Geographical Availability,Photo effects,0.6854713479569712
gemma3_4b,Regional and Geographical Availability,Access to movies,0.9245468198347341
gemma3_4b,Regional and Geographical Availability,Rate movies,0.5295111753647654
gemma3_4b,Regional and Geographical Availability,Keeping up with friends,0.8306654603338544
gemma3_4b,Regional and Geographical Availability,Play games,0.32099262393819056
