model,feature,llm_criteria,best_match,similarity_score,standard_criteria_id
anthropic,Access to podcasts,"Cross-Platform Sync: Ability to synchronize playback progress, subscriptions, and playlists across devices","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.41854224,RC_11
anthropic,Access to podcasts,Audio Quality Options: Range of audio quality settings and streaming/download options available,Feature Set: Range and quality of features offered by the app.,0.41686937,RC_05
anthropic,Access to podcasts,Discovery Features: Quality and effectiveness of recommendation algorithms and content discovery tools,Feature Set: Range and quality of features offered by the app.,0.44516182,RC_05
anthropic,Access to podcasts,Offline Capabilities: Download functionality and offline playback features,In-App Purchases: The availability and variety of in-app purchases.,0.40648517,RC_07
anthropic,Access to podcasts,Monthly Active Users: Number of active users per month indicating platform popularity and reliability,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.82190704,RC_09
anthropic,Access to podcasts,Podcast Library Size: Total number of podcasts available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.42410696,RC_10
anthropic,Access to podcasts,"User Interface Quality: Ease of navigation, visual design, and overall user experience rating",Ease of Use: How user-friendly and intuitive the app interface is.,0.61311495,RC_04
anthropic,Access to podcasts,Cross-Platform Sync: Ability to synchronize listening progress and subscriptions across devices,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.44994706,RC_11
anthropic,Access to podcasts,Offline Download Capability: Quality and reliability of offline podcast downloading and storage,In-App Purchases: The availability and variety of in-app purchases.,0.34377864,RC_07
anthropic,Access to podcasts,Discovery Features: Effectiveness of recommendation algorithms and content discovery tools,Feature Set: Range and quality of features offered by the app.,0.40717873,RC_05
anthropic,Access to podcasts,"Playback Customization: Range of playback speed options, skip intervals, and audio enhancement features","Customization Options: The ability to customize the app's interface, themes, and functionality.",0.4469966,RC_03
anthropic,Access to podcasts,Content Library Size: Total number of available podcasts and episodes accessible through the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.41666543,RC_10
anthropic,Access to podcasts,"Platform Availability: Number of supported platforms and devices (iOS, Android, Web, Desktop, Smart speakers)","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.678761,RC_11
anthropic,Access to podcasts,"User Experience Score: Overall user interface quality, ease of navigation, and feature accessibility",Ease of Use: How user-friendly and intuitive the app interface is.,0.61300063,RC_04
anthropic,Access to podcasts,Discovery Features: Quality and effectiveness of podcast recommendation algorithms and discovery tools,Feature Set: Range and quality of features offered by the app.,0.3920842,RC_05
anthropic,Access to podcasts,Offline Functionality: Download capabilities and offline playback features availability,In-App Purchases: The availability and variety of in-app purchases.,0.43560395,RC_07
anthropic,Access to podcasts,Subscription Cost: Monthly or annual subscription fee for premium features (0 for free apps),"Cost: The app's pricing model, including whether it's free, subscription-based, or has in-app purchases.",0.76912683,RC_01
anthropic,Access to podcasts,Podcast Library Size: Total number of available podcasts and episodes accessible through the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.41364008,RC_10
anthropic,Access to podcasts,"Discovery Features Quality: Effectiveness of recommendation algorithms, search functionality, and content curation features",Feature Set: Range and quality of features offered by the app.,0.4383604,RC_05
anthropic,Access to podcasts,"Playback Features Completeness: Availability of advanced playback controls like variable speed, sleep timer, chapter navigation, and cross-device sync",Feature Set: Range and quality of features offered by the app.,0.43865243,RC_05
anthropic,Access to podcasts,"User Experience Rating: Overall app usability, interface design quality, and ease of navigation","User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.71097374,RC_16
anthropic,Access to podcasts,"Cross-Platform Availability: Number of platforms supported including iOS, Android, web, desktop, and smart devices","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.7122489,RC_11
anthropic,Access to podcasts,Offline Download Capability: Quality and flexibility of offline listening features including download limits and storage management,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.3947931,RC_10
anthropic,Access to podcasts,Podcast Library Size: Total number of podcasts available on the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.42410696,RC_10
anthropic,Access to podcasts,"User Interface Quality: Ease of navigation, visual design, and overall user experience rating",Ease of Use: How user-friendly and intuitive the app interface is.,0.61311495,RC_04
anthropic,Access to podcasts,Cross-Platform Synchronization: Ability to sync listening progress and subscriptions across devices,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.44588196,RC_11
anthropic,Access to podcasts,Download and Offline Capabilities: Quality of offline listening features including download speed and storage management,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.38766602,RC_10
anthropic,Access to podcasts,"Smart Playback Features: Advanced features like variable speed, silence trimming, volume boost, and smart playlists",Feature Set: Range and quality of features offered by the app.,0.4104788,RC_05
anthropic,Access to podcasts,Discovery and Recommendation Engine: Effectiveness of personalized recommendations and content discovery features,Feature Set: Range and quality of features offered by the app.,0.3844377,RC_05
anthropic,Access to podcasts,Content Library Size: Total number of available podcast shows and episodes accessible through the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.41567028,RC_10
anthropic,Access to podcasts,Audio Quality Options: Range of audio quality settings available for streaming and downloading,Feature Set: Range and quality of features offered by the app.,0.40986088,RC_05
anthropic,Access to podcasts,Offline Download Capability: Ability to download episodes for offline listening and storage management features,In-App Purchases: The availability and variety of in-app purchases.,0.36956736,RC_07
anthropic,Access to podcasts,"Cross-Platform Sync: Synchronization of listening progress, subscriptions, and playlists across multiple devices","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.40485695,RC_11
anthropic,Access to podcasts,Discovery Algorithm Quality: Effectiveness of personalized recommendations and content discovery features,Feature Set: Range and quality of features offered by the app.,0.39368278,RC_05
anthropic,Access to podcasts,"User Interface Rating: Overall usability, design quality, and user experience satisfaction score","User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.62912494,RC_16
anthropic,Access to podcasts,Podcast Library Size: Total number of available podcast shows and episodes accessible through the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.41083586,RC_10
anthropic,Access to podcasts,"User Interface Quality: Ease of navigation, search functionality, and overall user experience design",Ease of Use: How user-friendly and intuitive the app interface is.,0.5978869,RC_04
anthropic,Access to podcasts,"Cross-Platform Sync: Ability to synchronize listening progress, subscriptions, and playlists across devices","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.43779296,RC_11
anthropic,Access to podcasts,Offline Download Capability: Quality and ease of downloading episodes for offline listening,Geographical Availability: Regions or countries where the app is accessible.,0.34665316,RC_06
anthropic,Access to podcasts,"Discovery Features: Recommendation algorithms, trending lists, and personalized content suggestions",Feature Set: Range and quality of features offered by the app.,0.3870488,RC_05
anthropic,Access to podcasts,Audio Quality Options: Range of audio quality settings and streaming bitrates available,Feature Set: Range and quality of features offered by the app.,0.39903095,RC_05
anthropic,Access to podcasts,Content Library Size: Total number of available podcast shows and episodes accessible through the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.41567028,RC_10
anthropic,Access to podcasts,"User Interface Quality: Ease of navigation, search functionality, and overall user experience design",Ease of Use: How user-friendly and intuitive the app interface is.,0.5978869,RC_04
anthropic,Access to podcasts,"Cross-Platform Sync: Ability to synchronize listening progress, subscriptions, and playlists across multiple devices","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.43281054,RC_11
anthropic,Access to podcasts,Offline Download Capability: Quality and reliability of downloading episodes for offline listening,Geographical Availability: Regions or countries where the app is accessible.,0.3495361,RC_06
anthropic,Access to podcasts,"Discovery Features: Effectiveness of recommendation algorithms, trending sections, and content curation",User Engagement: Measures how frequently and actively users interact with the app.,0.34746903,RC_15
anthropic,Access to podcasts,Podcast Library Size: Total number of available podcasts and episodes accessible through the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.41364008,RC_10
anthropic,Access to podcasts,User Base and Downloads: Total number of active users and app downloads indicating popularity and reliability,"User Base: The number of active users on the platform, indicating its popularity and reach.",0.69719404,RC_14
anthropic,Access to podcasts,"Cross-Platform Sync: Ability to synchronize listening progress, subscriptions, and playlists across multiple devices","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.43281054,RC_11
anthropic,Access to podcasts,"Advanced Playback Features: Availability of features like variable speed control, sleep timer, chapter navigation, and smart playlists",Feature Set: Range and quality of features offered by the app.,0.4352561,RC_05
anthropic,Access to podcasts,Discovery and Recommendation Quality: Effectiveness of content discovery algorithms and personalized podcast recommendations,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.3661598,RC_16
anthropic,Access to podcasts,Audio Quality and Streaming Reliability: Maximum supported audio quality and consistency of streaming performance,Customer Support: The availability and quality of customer support services.,0.40561593,RC_02
anthropic,Access to podcasts,Podcast Library Size: Total number of available podcasts and episodes accessible through the platform,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.41364008,RC_10
anthropic,Access to podcasts,"User Interface Quality: Ease of navigation, design aesthetics, and overall user experience rating",Ease of Use: How user-friendly and intuitive the app interface is.,0.6009944,RC_04
anthropic,Access to podcasts,"Cross-Platform Sync: Ability to synchronize listening progress, subscriptions, and playlists across multiple devices","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.43281054,RC_11
anthropic,Access to podcasts,Discovery Features: Quality and effectiveness of podcast recommendation algorithms and browsing categories,Feature Set: Range and quality of features offered by the app.,0.39808872,RC_05
anthropic,Access to podcasts,Offline Download Capability: Ability to download episodes for offline listening and storage management options,In-App Purchases: The availability and variety of in-app purchases.,0.3627803,RC_07
anthropic,Broadcast messages to multiple contacts,Broadcast List Capacity: Maximum number of contacts that can be included in a single broadcast message,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.28972962,RC_09
anthropic,Broadcast messages to multiple contacts,"Message Type Support: Variety of supported message formats including text, images, videos, documents, and voice messages for broadcasts",Security and Privacy: The level of encryption and privacy features offered to protect user data and communications.,0.3301119,RC_12
anthropic,Broadcast messages to multiple contacts,"Delivery Analytics: Availability of read receipts, delivery confirmations, and detailed analytics for broadcast messages",In-App Purchases: The availability and variety of in-app purchases.,0.4562504,RC_07
anthropic,Broadcast messages to multiple contacts,"Cross-Platform Compatibility: Support across multiple operating systems and devices including iOS, Android, Windows, macOS, and web versions","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.6159874,RC_11
anthropic,Broadcast messages to multiple contacts,"User Base Size: Total number of active users globally, indicating message reach potential and recipient accessibility","User Base: The number of active users on the platform, indicating its popularity and reach.",0.70103943,RC_14
anthropic,Broadcast messages to multiple contacts,Broadcast List Size Limit: Maximum number of contacts that can be added to a single broadcast list,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.2534528,RC_09
anthropic,Broadcast messages to multiple contacts,Message Delivery Success Rate: Percentage of broadcast messages successfully delivered to recipients,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.3401303,RC_16
anthropic,Broadcast messages to multiple contacts,"Contact Management Features: Availability of features like contact grouping, labeling, filtering, and import/export",Feature Set: Range and quality of features offered by the app.,0.42471316,RC_05
anthropic,Broadcast messages to multiple contacts,"Message Type Support: Number of supported message formats including text, images, videos, documents, voice notes",Customer Support: The availability and quality of customer support services.,0.31804195,RC_02
anthropic,Broadcast messages to multiple contacts,"Privacy and Security Level: Implementation of end-to-end encryption, privacy controls, and data protection measures",Security and Privacy: The level of encryption and privacy features offered to protect user data and communications.,0.7943935,RC_12
anthropic,Broadcast messages to multiple contacts,"Business-Specific Features: Availability of features like business profiles, automated responses, analytics, API access",Integration Capabilities: Ability to integrate with other popular apps and services.,0.544446,RC_08
anthropic,Broadcast messages to multiple contacts,Maximum broadcast list size: The maximum number of contacts that can be included in a single broadcast message,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.306502,RC_09
anthropic,Broadcast messages to multiple contacts,"Delivery confirmation features: Availability of read receipts, delivery status, and message tracking capabilities",In-App Purchases: The availability and variety of in-app purchases.,0.45705873,RC_07
anthropic,Broadcast messages to multiple contacts,"Cross-platform compatibility: Number of platforms supported including iOS, Android, Windows, macOS, Web","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.6116327,RC_11
anthropic,Broadcast messages to multiple contacts,"Message formatting options: Support for rich text, media attachments, links, and multimedia broadcasting","Customization Options: The ability to customize the app's interface, themes, and functionality.",0.34074938,RC_03
anthropic,Broadcast messages to multiple contacts,Privacy and encryption level: End-to-end encryption availability and privacy protection for broadcast messages,Security and Privacy: The level of encryption and privacy features offered to protect user data and communications.,0.69174594,RC_12
anthropic,Broadcast messages to multiple contacts,Broadcast List Capacity: Maximum number of contacts that can be added to a single broadcast list or group messaging feature,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.33248353,RC_09
anthropic,Broadcast messages to multiple contacts,Message Delivery Reliability: Success rate of message delivery to all intended recipients in broadcast scenarios,Customer Support: The availability and quality of customer support services.,0.41003418,RC_02
anthropic,Broadcast messages to multiple contacts,Platform Availability: Number of different platforms and devices the app supports for seamless cross-platform broadcasting,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.54481936,RC_11
anthropic,Broadcast messages to multiple contacts,"Broadcasting Features Richness: Variety and sophistication of broadcasting features including scheduling, media support, list management, and analytics",Feature Set: Range and quality of features offered by the app.,0.38487002,RC_05
anthropic,Broadcast messages to multiple contacts,"User Base Size: Total number of active users globally, indicating the likelihood that contacts will have the app installed","User Base: The number of active users on the platform, indicating its popularity and reach.",0.61368185,RC_14
anthropic,Broadcast messages to multiple contacts,Broadcast List Capacity: Maximum number of contacts that can be added to a single broadcast list or group message,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.29471588,RC_09
anthropic,Broadcast messages to multiple contacts,"Contact Management Features: Quality and comprehensiveness of contact organization, labeling, and segmentation tools",Feature Set: Range and quality of features offered by the app.,0.2530751,RC_05
anthropic,Broadcast messages to multiple contacts,Message Delivery Reliability: Consistency and success rate of message delivery to all intended recipients,Customer Support: The availability and quality of customer support services.,0.45900634,RC_02
anthropic,Broadcast messages to multiple contacts,"Multi-Platform Availability: Number of platforms supported including mobile, desktop, and web versions","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.67764586,RC_11
anthropic,Broadcast messages to multiple contacts,"Message Format Support: Variety of supported message types including text, images, videos, documents, and rich media",Security and Privacy: The level of encryption and privacy features offered to protect user data and communications.,0.30950856,RC_12
anthropic,Broadcast messages to multiple contacts,Broadcast List Capacity: Maximum number of contacts that can be added to a single broadcast list or group message,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.29471588,RC_09
anthropic,Broadcast messages to multiple contacts,"User Base Size: Total number of active users globally, indicating reach potential and contact availability","User Base: The number of active users on the platform, indicating its popularity and reach.",0.74026483,RC_14
anthropic,Broadcast messages to multiple contacts,"Message Type Support: Variety of message formats supported including text, images, videos, documents, voice messages, and multimedia",Security and Privacy: The level of encryption and privacy features offered to protect user data and communications.,0.34148893,RC_12
anthropic,Broadcast messages to multiple contacts,"Cross-Platform Availability: Number of platforms supported including iOS, Android, Windows, macOS, Web, and desktop applications","Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.7377291,RC_11
anthropic,Broadcast messages to multiple contacts,"Privacy and Security Features: Implementation of end-to-end encryption, privacy controls, and security measures for broadcast messages",Security and Privacy: The level of encryption and privacy features offered to protect user data and communications.,0.76665866,RC_12
anthropic,Broadcast messages to multiple contacts,Broadcast List Capacity: Maximum number of contacts that can be included in a single broadcast message,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.28972962,RC_09
anthropic,Broadcast messages to multiple contacts,"Contact Management Features: Quality and comprehensiveness of tools for organizing, grouping, and managing contact lists for broadcasting",Feature Set: Range and quality of features offered by the app.,0.31783867,RC_05
anthropic,Broadcast messages to multiple contacts,Message Delivery Rate: Percentage of broadcast messages successfully delivered to intended recipients,"User Ratings: Average rating given by users on app stores, reflecting user satisfaction.",0.31164682,RC_16
anthropic,Broadcast messages to multiple contacts,Cross-Platform Compatibility: Number of different operating systems and devices the app supports for seamless broadcasting,"Platform Availability: The operating systems and devices the app supports, affecting accessibility.",0.5443738,RC_11
anthropic,Broadcast messages to multiple contacts,Privacy Protection Level: Strength of encryption and privacy features protecting broadcast messages and contact information,Security and Privacy: The level of encryption and privacy features offered to protect user data and communications.,0.79701763,RC_12
anthropic,Broadcast messages to multiple contacts,Broadcast List Capacity: Maximum number of contacts that can be included in a single broadcast message,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.28972962,RC_09
anthropic,Broadcast messages to multiple contacts,Message Delivery Rate: Percentage of broadcast messages successfully delivered to recipients,Number of Downloads: Total number of times the app has been downloaded from major app stores.,0.3200313,RC_10
anthropic,Broadcast messages to multiple contacts,Contact Management Features: Quality and comprehensiveness of tools for organizing and managing broadcast contact lists,"User Base: The number of active users on the platform, indicating its popularity and reach.",0.2836403,RC_14
anthropic,Broadcast messages to multiple contacts,"Message Format Support: Number of supported message formats including text, images, videos, documents, and rich media",Security and Privacy: The level of encryption and privacy features offered to protect user data and communications.,0.3064283,RC_12
anthropic,Broadcast messages to multiple contacts,User Base Size: Total number of active users on the platform affecting reach potential,"User Base: The number of active users on the platform, indicating its popularity and reach.",0.7661966,RC_14
anthropic,Broadcast messages to multiple contacts,Maximum Broadcast Recipients: The maximum number of contacts that can receive a single broadcast message,"Monthly Active Users: Total number of active users per month, indicating platform reach and audience size",0.3475079,RC_09
anthropic,Broadcast messages to multiple contacts,"Broadcast List Management Features: Quality and ease of creating, editing, and organizing broadcast lists","Customization Options: The ability to customize the app's interface, themes, and functionality.",0.36781815,RC_03
anthropic,Broadcast messages to multiple contacts,"Message Type Support: Number of different message types supported in broadcasts (text, images, videos, documents, voice)",Feature Set: Range and quality of features offered by the app.,0.3207418,RC_05
